method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
RecurrentPPO,4,0,-46.31000000000001,32,1,0,4,1.1609375,0.1,3.84
RecurrentPPO,4,1,-71.695,29,1,0,4,2.169827586206896,0.10000000000000003,3.4800000000000004
RecurrentPPO,4,2,-102.46,37,1,0,4,2.504054054054054,0.10000000000000002,4.44
RecurrentPPO,4,3,-48.01,22,1,0,4,1.8249999999999995,0.10000000000000003,2.6400000000000006
RecurrentPPO,4,4,-75.325,35,1,0,4,1.8792857142857144,0.10000000000000002,4.2
RecurrentPPO,4,5,-109.78000000000003,51,1,0,4,1.9245098039215691,0.09999999999999998,6.12
RecurrentPPO,4,6,-125.945,49,1,0,4,2.3382653061224485,0.09999999999999999,5.88
RecurrentPPO,4,7,-54.474999999999994,40,1,0,4,1.106875,0.1,4.8
RecurrentPPO,4,8,-38.455,26,1,0,4,1.1567307692307691,0.10000000000000002,3.12
RecurrentPPO,4,9,-48.94,23,1,0,4,1.7804347826086957,0.10000000000000003,2.7600000000000007
RecurrentPPO,4,10,-19.11,17,1,0,4,0.7000000000000001,0.1,2.04
RecurrentPPO,4,11,-71.175,45,1,0,4,1.3405555555555557,0.09999999999999996,5.4
RecurrentPPO,4,12,-52.15500000000001,26,1,0,4,1.6836538461538457,0.10000000000000002,3.12
RecurrentPPO,4,13,-127.98000000000003,51,1,0,4,2.2813725490196073,0.09999999999999998,6.12
RecurrentPPO,4,14,-48.05,20,1,0,4,2.0225,0.10000000000000002,2.4000000000000004
RecurrentPPO,4,15,-87.66999999999997,39,1,0,4,1.98974358974359,0.10000000000000002,4.680000000000001
RecurrentPPO,4,16,-33.61000000000001,17,1,0,4,1.552941176470588,0.1,2.04
RecurrentPPO,4,17,-43.45,35,1,0,4,0.9685714285714285,0.10000000000000002,4.2
RecurrentPPO,4,18,-78.83500000000001,37,1,0,4,1.8655405405405407,0.10000000000000002,4.44
RecurrentPPO,4,19,-45.305,21,1,0,4,1.7892857142857141,0.10000000000000002,2.5200000000000005
RecurrentPPO,4,20,-72.18,36,1,0,4,1.7361111111111112,0.10000000000000002,4.32
RecurrentPPO,4,21,-25.75,15,1,0,4,1.2533333333333334,0.10000000000000003,1.8000000000000007
RecurrentPPO,4,22,-54.754999999999995,26,1,0,4,1.7836538461538458,0.10000000000000002,3.12
RecurrentPPO,4,23,-65.07000000000001,29,1,0,4,1.9413793103448278,0.10000000000000003,3.4800000000000004
RecurrentPPO,4,24,-42.39,28,1,0,4,1.2053571428571428,0.10000000000000002,3.3600000000000003
RecurrentPPO,4,25,-151.38000000000002,51,1,0,4,2.740196078431372,0.09999999999999998,6.12
RecurrentPPO,4,26,-111.60500000000002,46,1,0,4,2.1874999999999996,0.09999999999999995,5.5200000000000005
RecurrentPPO,4,27,-31.950000000000003,20,1,0,4,1.2174999999999998,0.10000000000000002,2.4000000000000004
RecurrentPPO,4,28,-51.72,39,1,0,4,1.067948717948718,0.10000000000000002,4.680000000000001
RecurrentPPO,4,29,-68.97,34,1,0,4,1.751470588235294,0.1,4.08
RecurrentPPO,4,30,-39.589999999999996,33,1,0,4,0.9181818181818181,0.1,3.96
RecurrentPPO,4,31,-76.03999999999999,38,1,0,4,1.739473684210526,0.10000000000000002,4.5600000000000005
RecurrentPPO,4,32,-112.22500000000002,45,1,0,4,2.2527777777777778,0.09999999999999996,5.4
RecurrentPPO,4,33,-55.964999999999996,33,1,0,4,1.4143939393939395,0.1,3.96
RecurrentPPO,4,34,-103.62,44,1,0,4,2.1113636363636363,0.09999999999999996,5.28
RecurrentPPO,4,35,-71.31,37,1,0,4,1.6621621621621625,0.10000000000000002,4.44
RecurrentPPO,4,36,-39.699999999999996,25,1,0,4,1.258,0.10000000000000002,3.0
RecurrentPPO,4,37,-51.675,35,1,0,4,1.2035714285714285,0.10000000000000002,4.2
RecurrentPPO,4,38,-82.00999999999999,32,1,0,4,2.2765625,0.1,3.84
RecurrentPPO,4,39,-14.580000000000002,11,1,0,4,0.740909090909091,0.1,1.3200000000000003
RecurrentPPO,4,40,-183.48500000000007,72,1,0,4,2.3489583333333335,0.09999999999999999,8.64
RecurrentPPO,4,41,-53.95499999999999,31,1,0,4,1.449193548387097,0.10000000000000003,3.7200000000000006
RecurrentPPO,4,42,-39.455000000000005,26,1,0,4,1.1951923076923074,0.10000000000000002,3.12
RecurrentPPO,4,43,-157.735,52,1,0,4,2.807211538461538,0.09999999999999996,6.24
