#{"t_start": 1775492881.473509, "env_id": "None"}
r,l,t
-49.1,31,0.067939
-101.31,150,1.676364
-50.435,150,2.905809
-126.855,150,4.303369
-184.315,150,5.848015
-45.475,51,7.697012
-191.375,150,9.290308
-106.525,150,10.712449
-37.885,119,12.165756
-230.96,150,13.503203
-208.82,150,15.256772
-39.9,26,16.929818
-40.555,150,19.415817
-36.93,53,19.52288
-200.275,150,20.985897
-234.29,150,23.147311
-52.895,150,25.053689
-108.425,150,26.524719
-115.52,150,27.689482
-17.335,15,27.711481
-23.58,150,29.210859
-254.67,150,30.870657
-105.74,150,32.446409
-269.215,150,34.192881
-284.14,150,35.67117
-53.795,150,36.959887
-57.585,150,38.2246
-24.3,47,39.578133
-48.585,30,39.615132
-8.335,63,40.617444
0.63,4,40.625443
-51.975,150,42.271576
-78.965,150,43.580879
-75.885,150,45.0114
-44.835,150,46.333743
-70.08,150,47.678023
-100.55,150,49.442042
-165.61,150,51.077962
-136.55,150,52.502848
-219.37,150,53.817527
-187.605,92,54.930581
-141.645,150,56.372027
-139.395,150,57.592805
-105.64,150,58.849177
-16.165,100,60.22107
-70.0,150,63.073396
-76.925,37,64.301803
-154.56,150,65.843401
-119.45,150,67.240863
-47.17,53,67.323883
-58.485,150,68.410931
-23.29,15,69.913707
-82.57,150,71.63957
-38.335,150,73.102624
-199.235,150,74.293584
-102.825,150,75.486862
-185.155,150,77.10523
-110.715,150,78.944951
-88.335,150,80.430447
-274.83,150,81.91159
-157.14,150,83.348538
-174.15,150,84.730539
-113.32,150,86.169249
-108.64,150,87.833812
-82.37,150,89.786952
-22.48,41,89.845049
-79.235,48,90.670123
-52.61,67,90.759127
-102.025,150,91.929712
-191.21,150,93.398772
-51.59,29,94.887106
-50.51,124,96.344008
-119.53,150,98.034969
-14.635,69,98.126675
-130.615,150,99.521357
-151.08,150,101.260717
-38.315,30,101.301962
-183.305,150,102.529685
-93.765,150,103.753506
-25.265,115,105.140175
-89.655,150,106.407836
0.3,6,106.417839
-65.315,45,107.883875
-152.825,150,109.54762
-69.34,150,110.880139
-241.99,150,112.092693
-179.905,150,113.586771
-250.695,150,115.321065
-34.105,100,115.452065
-131.395,150,117.219486
-106.405,150,118.842815
-42.88,33,118.884813
-97.955,150,120.263329
-188.67,150,121.575011
-173.185,150,123.195515
-59.325,150,125.131216
-31.425,150,126.813545
-27.745,54,126.888515
-27.345,51,127.790608
0.905,3,127.794627
-19.215,123,129.445853
-63.885,63,129.52482
-51.605,33,129.571034
-16.945,87,130.592493
-181.05,150,131.793916
-98.595,150,133.175595
-91.78,150,134.853984
-19.975,58,134.930978
-78.675,150,136.190055
-20.915,15,136.210054
-157.755,150,137.57528
-160.78,150,139.247663
