#{"t_start": 1775758657.7921429, "env_id": "None"}
r,l,t
-19.767,150,0.040304
1.865,7,0.042304
-38.099,53,0.056304
-25.219,150,0.089532
-29.314,150,0.124658
-41.61,150,0.151978
-32.305,150,0.179384
-35.928,23,0.185384
-3.238,97,0.211251
2.471,7,0.214261
-16.914,150,0.246908
-25.381,150,0.28229
-24.228,150,0.315203
-32.302,32,0.32399
-18.854,150,0.357108
1.633,8,0.360116
-23.287,150,0.389329
-17.854,150,0.41894
-13.602,150,0.45173
-25.812,150,0.482558
-20.886,150,0.513938
-30.939,150,0.543446
-22.823,150,0.575124
-27.138,150,0.623924
-24.126,150,0.668835
-26.158,150,0.702652
-49.541,23,0.710226
-15.752,150,0.742991
-29.031,150,0.777346
-62.934,72,0.794105
-34.614,150,0.823621
-16.134,150,0.857632
-19.082,150,0.893739
-17.892,150,0.928313
-19.912,150,0.958979
-17.755,150,0.992353
-15.107,150,1.024793
-37.149,150,1.055056
-19.388,150,1.083565
-22.076,150,1.115093
-21.839,150,1.149352
-13.767,150,1.183451
-32.628,31,1.193451
-30.677,150,1.222954
-2.006,46,1.238319
-18.408,150,1.268781
-19.975,150,1.300285
-29.88,150,1.334137
-0.463,37,1.347138
-145.221,150,1.378137
-18.034,150,1.406558
-1.944,42,1.418558
-23.409,150,1.450673
-15.543,150,1.483005
2.399,5,1.485004
2.111,7,1.487005
-15.163,150,1.516164
-14.818,150,1.550605
-21.602,150,1.582809
-20.027,150,1.620219
-31.868,150,1.652019
-25.682,150,1.682683
-22.504,150,1.716137
-12.799,150,1.747789
-41.917,150,1.77809
-21.139,150,1.812929
-24.448,150,1.839567
-27.216,150,1.870129
-22.252,150,1.90481
-29.324,150,1.937963
-41.925,55,1.950971
-28.699,150,1.982627
-24.96,150,2.019083
-28.478,150,2.053687
-22.664,150,2.083267
-35.738,45,2.096589
1.786,6,2.101158
-30.461,150,2.131159
-39.909,150,2.156599
-38.572,150,2.190084
-28.529,150,2.220109
-16.778,150,2.253875
-35.017,23,2.259883
-168.225,150,2.292154
-35.474,150,2.322507
-32.359,150,2.350507
-29.076,150,2.384505
-23.781,150,2.412945
