method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
RuleBased,2,0,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,1,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,2,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,3,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,4,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,5,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,6,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,7,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,8,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,9,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,10,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,11,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,12,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,13,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,14,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,15,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,16,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,17,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,18,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,19,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,20,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,21,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,22,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,23,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,24,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,25,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,26,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,27,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,28,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,29,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,30,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,31,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,32,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,33,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,34,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,35,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,36,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,37,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,38,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,39,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,40,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,41,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,42,-41.65,16,1,0,4,2.075,0.21875,2.0
RuleBased,2,43,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,44,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,45,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,46,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,47,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,48,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,49,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,50,-21.11,11,1,0,4,1.3886363636363637,0.045454545454545456,0.97
RuleBased,2,51,-23.52,12,1,0,4,1.3374999999999997,0.20833333333333334,1.44
RuleBased,2,52,-41.65,16,1,0,4,2.075,0.21875,2.0
