#{"t_start": 1775689901.4184527, "env_id": "None"}
r,l,t
-15.16,150,0.323915
-28.244,150,0.466915
-29.538,150,0.601446
-18.235,150,0.73814
1.676,6,0.745235
-5.345,55,0.807237
-9.781,105,0.915488
-17.727,150,1.066344
-18.653,150,1.187495
-6.155,59,1.233495
-50.629,44,1.270894
-5.996,64,1.325324
-19.58,150,1.476313
-26.908,150,1.61499
-49.474,66,1.683689
-30.794,53,1.732771
-25.648,17,1.750771
-21.593,150,1.862596
-95.934,150,1.979279
-26.921,150,2.088324
-16.115,150,2.20534
-29.459,150,2.312881
-21.234,150,2.429127
-21.734,150,2.549941
-1.227,44,2.588191
-0.015,32,2.612662
-39.363,150,2.720968
-32.303,44,2.753967
-19.485,150,2.866444
-25.195,150,2.968944
-26.173,150,3.075944
-15.775,150,3.190687
-17.669,150,3.305178
-17.272,150,3.420178
-20.456,150,3.539556
-22.35,150,3.652441
-0.512,43,3.689461
2.502,4,3.69246
0.361,33,3.71831
-20.578,150,3.83231
-6.59,128,3.929404
-22.823,150,4.037583
-20.138,150,4.141058
-29.406,150,4.258262
-32.86,44,4.289262
-24.424,150,4.413439
-28.018,150,4.527536
-18.978,150,4.642919
2.458,8,4.650066
-25.915,150,4.764703
-23.472,150,4.872872
-25.683,150,4.982031
-29.889,150,5.083148
-23.609,150,5.192857
-29.179,150,5.304919
-21.06,150,5.433131
-15.048,150,5.548131
-23.418,150,5.661902
-22.378,150,5.777083
-36.076,150,5.881084
-34.711,150,5.987499
-3.848,71,6.038499
-29.976,43,6.0705
-0.692,23,6.0904
-18.652,150,6.200365
-23.021,150,6.315953
-33.122,150,6.422072
-16.373,150,6.542066
-28.017,150,6.656847
-19.372,150,6.77674
-26.233,20,6.79274
-32.509,150,6.905225
-21.488,150,7.025447
-19.849,150,7.132798
-22.816,150,7.240983
-32.07,32,7.268983
-30.437,150,7.384257
-34.084,45,7.417047
-26.289,150,7.530899
-4.358,54,7.5729
-17.684,150,7.681124
-20.001,150,7.809178
-21.626,150,7.910221
-26.481,150,8.020582
-32.791,150,8.127744
-26.176,150,8.242858
-20.636,150,8.357467
-23.196,150,8.475543
-10.235,124,8.570855
-24.116,150,8.683053
-28.233,150,8.800576
-24.912,150,8.909434
-16.284,150,9.016951
-5.395,67,9.065951
-17.931,150,9.171764
-17.651,150,9.283299
2.675,3,9.286299
-30.727,150,9.395551
-31.295,23,9.416551
-60.809,150,9.518525
-14.548,150,9.640167
-29.612,150,9.749828
-128.144,150,9.856432
-2.603,44,9.887432
-25.352,150,9.994432
-21.627,150,10.104441
-17.385,150,10.249423
-31.055,150,10.355634
-29.047,150,10.463742
-15.994,150,10.574632
-21.083,150,10.692108
-30.364,150,10.807773
-35.309,150,10.914999
-47.81,49,10.960999
1.268,31,10.989001
-13.156,150,11.11816
-38.828,150,11.255867
-20.972,150,11.418244
-26.333,150,11.536243
-26.534,150,11.646567
-32.881,62,11.696568
-22.097,150,11.814804
-18.852,150,11.915804
-19.834,150,12.022374
-25.013,150,12.137078
-26.572,150,12.266519
-28.009,24,12.302763
-134.61,150,12.421048
-21.891,150,12.548669
-21.287,150,12.651665
-30.459,150,12.756449
-21.511,150,12.861088
-25.7,150,12.970542
-22.764,150,13.066603
-14.313,150,13.177102
-28.027,150,13.306585
-15.105,150,13.419707
-17.228,150,13.535047
-23.781,150,13.649047
-17.576,150,13.770535
-14.793,150,13.880772
-23.974,150,13.985704
-2.137,67,14.042704
-15.41,150,14.155704
-20.309,150,14.270869
-19.764,150,14.387918
-11.276,150,14.506622
-136.974,150,14.632146
-126.753,150,14.74332
2.191,5,14.74732
-21.899,150,14.86539
-20.057,150,14.981888
-30.714,150,15.081896
-29.189,150,15.212054
-21.35,150,15.331038
-28.63,150,15.460068
-19.975,150,15.574139
-36.181,150,15.6842
-113.72,150,16.295772
-12.142,150,16.419256
-17.618,150,16.539411
-10.299,150,16.647448
-18.184,150,16.758422
-28.642,150,16.870365
-15.434,150,16.980402
-20.455,150,17.110867
-34.672,150,17.223385
2.278,4,17.227385
-12.791,150,17.340967
-12.142,150,17.464689
-16.111,150,17.597139
-31.437,54,17.648252
-47.539,150,17.769255
-1.595,50,17.810256
-23.831,150,17.935758
-18.877,150,18.075023
-21.806,150,18.199619
-42.495,150,18.35539
-11.74,150,18.486442
-8.269,80,18.55232
-23.383,150,18.671874
-2.416,60,18.717251
-25.065,150,18.848123
-21.837,150,18.983257
-13.386,150,19.099358
-0.703,39,19.132387
-0.612,35,19.164591
-0.147,33,19.190634
-10.202,36,19.217636
-19.018,150,19.335434
-37.292,64,19.389547
-31.262,33,19.417037
-18.408,150,19.524863
-23.649,150,19.631513
-19.503,150,19.74856
-34.874,24,19.769556
-18.397,150,19.893105
-11.028,150,20.000108
-134.567,150,20.113105
-20.917,150,20.229277
-16.93,150,20.344591
-0.967,35,20.374074
-24.894,150,20.486073
-18.75,150,20.601221
-14.761,150,20.725183
-20.827,150,20.847636
-16.276,150,20.957809
-23.423,150,21.071261
-15.268,150,21.192465
-32.229,42,21.227852
-15.942,150,21.352513
-29.995,150,21.46231
-13.445,150,21.587396
-4.277,116,21.682169
-0.146,50,21.726337
-31.21,42,21.768548
-14.26,150,21.890091
-15.394,150,22.002321
-6.187,101,22.07832
-19.123,150,22.181471
-25.238,150,22.297854
-14.306,150,22.420475
-18.265,150,22.531675
-13.947,150,22.655373
-14.649,150,22.764228
-12.093,150,22.879237
-29.511,150,22.988496
-11.554,150,23.097606
-20.366,150,23.204162
-21.421,150,23.312003
-16.079,150,23.421922
-19.921,150,23.532804
-23.756,150,23.643978
-28.912,150,23.766274
-9.606,150,23.876634
-15.953,150,23.988758
-14.733,150,24.091642
-23.506,150,24.201193
-9.983,60,24.249789
-2.397,48,24.288834
2.417,7,24.293833
-13.297,150,24.415243
-147.324,150,24.52438
-15.724,150,24.643749
-44.42,68,24.698763
-16.48,150,24.814478
-15.184,150,24.926721
-12.305,150,25.049113
2.015,8,25.057112
2.366,5,25.062113
-37.492,44,25.097175
-14.326,150,25.204411
-4.072,89,25.277452
-0.531,51,25.323261
-13.773,150,25.436039
-19.274,150,25.553014
-136.947,150,25.664885
-8.316,150,25.787131
-32.585,33,25.812504
-22.921,150,25.928258
-20.27,150,26.04621
-12.919,150,26.165055
-19.576,150,26.275737
-0.142,35,26.304744
-15.285,150,26.423938
-17.087,150,26.542832
-34.427,31,26.569995
-3.921,115,26.657571
-21.483,150,26.773753
0.569,35,26.800752
-13.016,150,26.924663
-32.017,150,27.046217
-18.954,150,27.177486
-9.028,150,27.321126
-17.76,150,27.455392
-22.734,150,27.579906
-17.473,150,27.731023
-1.783,65,27.796331
-17.727,150,27.906193
-5.622,110,27.992273
-23.838,150,28.10512
-17.458,150,28.239809
-14.491,150,28.365992
-15.17,150,28.491825
-4.024,62,28.546845
-9.526,150,28.673323
-122.337,150,28.789215
-20.541,150,28.907032
-8.833,150,29.027725
-10.045,150,29.14179
-30.795,150,29.261751
-1.621,66,29.317369
-36.261,28,29.342376
-11.364,150,29.451623
-16.749,150,29.567969
-10.677,150,29.691995
-17.655,150,29.804992
-12.725,150,29.924388
-28.414,28,29.952825
-18.419,150,30.065817
-33.725,28,30.086819
-11.805,150,30.202007
-13.524,150,30.327547
-14.354,150,30.443688
-30.256,150,30.553011
-21.025,150,30.663465
-11.349,150,30.782789
-18.475,150,30.90254
-4.14,89,30.9762
-22.026,150,31.099004
-42.608,56,31.145003
-17.151,150,31.256469
-11.347,150,31.385402
-2.354,73,31.446646
-0.077,52,31.493577
-28.638,150,31.61264
-20.127,150,31.727934
-12.584,150,31.845763
-22.823,150,31.964057
-17.512,150,32.080255
-20.661,150,32.629293
-21.32,150,32.750786
-10.427,150,32.867522
-17.654,150,32.986043
-0.473,37,33.02212
-39.583,60,33.066569
-36.868,150,33.199645
-7.08,150,33.318234
-8.069,150,33.440015
-0.43,53,33.488179
-0.01,51,33.529536
-28.076,150,33.649943
-25.071,13,33.659943
-125.034,150,33.77424
1.62,27,33.800447
-9.376,150,33.93457
1.76,8,33.94157
0.654,44,33.979631
-1.813,50,34.017305
-40.216,150,34.126295
-10.904,150,34.252553
-7.14,104,34.337321
-11.425,150,34.458806
-5.906,28,34.489727
-10.618,150,34.630583
-35.272,23,34.651237
-10.068,150,34.762966
-16.874,150,34.8813
0.251,44,34.919181
-5.692,150,35.044968
-3.9,38,35.073968
-26.823,11,35.083338
-29.052,150,35.193336
-5.498,135,35.299336
-3.004,80,35.370944
-9.783,150,35.488221
-25.101,150,35.598088
-34.842,110,35.699803
-21.299,150,35.822976
-20.692,150,35.935071
-22.479,150,36.04737
-9.399,150,36.164773
-26.911,150,36.267217
-2.858,91,36.346122
-5.557,150,36.461678
-24.781,150,36.584358
-6.377,150,36.713594
-28.261,38,36.746238
-9.972,150,36.878052
-6.507,150,37.014953
-8.029,150,37.130891
0.968,21,37.146952
-35.048,37,37.179952
-0.573,28,37.202956
-14.85,150,37.324778
-24.576,15,37.336778
-9.755,150,37.466219
-20.015,150,37.583216
-17.596,150,37.712945
-6.797,150,37.831121
-8.22,150,37.954335
-7.378,150,38.065931
-0.734,52,38.10793
-29.194,34,38.132947
-0.083,67,38.183955
-3.918,104,38.284989
2.566,5,38.290993
-23.0,150,38.42392
-16.852,150,38.588197
-13.57,150,38.735284
-20.244,150,38.853479
-22.264,150,38.970604
-34.788,150,39.089922
-37.96,150,39.20901
-1.8,58,39.260008
-0.691,55,39.307593
-13.735,150,39.432071
-27.955,150,39.546642
-17.279,150,39.662348
-17.862,150,39.776886
-18.39,150,39.896648
2.768,4,39.899648
-18.921,150,40.015093
-15.062,150,40.132313
-8.046,150,40.245917
-10.661,150,40.36702
-7.219,150,40.49437
1.56,32,40.524393
-19.381,150,40.649159
-15.418,150,40.771702
-22.002,150,40.88744
-8.577,150,41.011741
-16.326,150,41.131959
-0.419,49,41.176011
-11.745,150,41.304329
-14.076,150,41.427746
-13.518,150,41.539458
-18.565,150,41.656208
-28.681,150,41.779128
-7.609,150,41.909534
-0.137,92,41.982975
-21.437,150,42.10212
2.476,5,42.107116
-1.363,87,42.177946
-16.142,150,42.293552
-2.176,68,42.355624
-14.088,150,42.468835
0.952,30,42.496345
-25.805,35,42.533669
-2.131,82,42.601565
-20.881,150,42.727965
-13.955,150,42.852931
-5.333,57,42.9025
0.708,79,42.97391
-13.808,150,43.096715
0.042,42,43.139567
-11.732,150,43.284285
0.258,44,43.343065
-32.446,150,43.495619
-9.059,150,43.639982
-7.495,150,43.773284
-9.056,150,43.904349
-12.242,150,44.027388
-23.409,150,44.137846
-28.877,27,44.159671
-14.191,150,44.276311
0.363,56,44.332184
-1.029,48,44.370187
-0.5,54,44.415001
-24.178,150,44.549056
-20.314,150,44.688493
-13.863,150,44.830163
-7.059,150,44.973485
-32.289,27,44.997481
-19.452,150,45.134085
-13.01,150,45.276493
-9.83,150,45.456447
-13.131,150,45.598473
-10.269,150,45.73224
-18.167,150,45.861713
-22.924,150,45.992462
-20.23,150,46.136935
-16.197,150,46.267717
-8.124,150,46.399538
-12.29,150,46.520403
-29.617,21,46.540337
-5.965,150,46.681785
-2.096,70,46.751192
1.823,40,46.786423
-0.502,37,46.824049
0.595,52,46.86922
-30.317,150,46.987517
-9.532,150,47.104842
-11.847,150,47.221791
-12.733,150,47.345539
-30.904,150,47.471557
2.617,5,47.475557
-8.837,150,47.59737
-6.598,150,47.717574
0.215,66,47.770794
-10.887,150,47.890999
-20.352,150,48.00309
-29.843,43,48.03609
-6.277,150,48.168414
-9.292,150,48.282769
-9.829,150,48.406954
-10.544,150,48.51941
2.498,6,48.52541
-1.634,62,48.58148
1.957,27,48.60248
-1.383,57,48.64987
0.071,53,48.699512
-0.015,42,48.730515
1.513,33,48.755515
-14.18,150,48.891421
-6.773,150,49.016768
-40.377,22,49.035699
-14.111,150,49.161738
0.267,47,49.200498
-0.924,42,49.241533
-5.207,150,49.77024
-0.391,65,49.82049
-0.247,43,49.868166
-11.426,150,49.988926
0.517,44,50.029078
1.414,59,50.08814
1.013,49,50.131097
-29.92,31,50.157098
-3.64,150,50.275928
-11.786,150,50.402776
-29.61,26,50.423774
-13.868,150,50.543965
-9.214,150,50.680774
-33.986,62,50.74141
-0.412,36,50.76841
-13.737,150,50.882037
-9.765,31,50.908283
2.722,4,50.911743
-7.787,150,51.031785
1.989,64,51.0854
-17.58,150,51.20376
-6.323,150,51.326029
-10.103,150,51.454929
-9.394,150,51.567499
-21.504,150,51.684968
-8.383,150,51.799619
-3.885,69,51.857343
-6.132,150,51.986464
-4.597,150,52.105547
-25.137,12,52.114917
-1.596,48,52.158628
-13.352,150,52.287201
-30.249,44,52.319201
-13.497,150,52.43933
-12.122,150,52.549327
1.261,48,52.596564
-25.687,150,52.721817
1.69,61,52.766817
-12.806,150,52.89582
-15.164,150,53.023967
2.632,4,53.027961
-8.156,150,53.145847
-17.187,150,53.272264
-31.833,16,53.284281
-22.03,150,53.400943
-1.969,68,53.458597
-9.982,80,53.524914
-38.879,56,53.570304
-19.069,150,53.695014
-16.468,150,53.810424
-0.166,59,53.865995
-4.959,150,53.999064
-21.652,150,54.120305
-10.375,150,54.246805
-9.436,150,54.367227
-8.019,150,54.504421
-32.072,34,54.534425
-0.81,71,54.606212
-10.434,150,54.744941
-6.262,150,54.893068
-5.405,150,55.034606
-10.626,79,55.110859
-25.755,24,55.131891
1.441,34,55.158376
-9.985,150,55.286978
-4.19,150,55.437597
2.355,3,55.442611
-27.075,150,55.586006
-2.054,77,55.65288
-17.347,150,55.770057
-30.179,33,55.809741
-26.542,36,55.842461
2.285,3,55.84396
-6.047,55,55.889637
-16.78,150,56.009449
-25.642,17,56.022449
-3.047,80,56.084061
-0.815,58,56.135732
2.432,7,56.140733
0.973,59,56.191733
-14.16,150,56.310317
-0.385,47,56.349703
-11.747,150,56.465601
-9.846,150,56.593618
-27.639,11,56.602618
-7.198,150,56.721881
-36.62,34,56.752298
-16.296,150,56.865245
1.533,47,56.901438
-1.51,83,56.970649
-21.822,150,57.093169
-16.026,150,57.212633
-6.662,150,57.325799
