#{"t_start": 1775052611.9366379, "env_id": "None"}
r,l,t
-138.09,150,0.053065
-24.29,15,0.05852
-20.05,16,0.06352
-15.845,15,0.068519
-9.965,9,0.074523
-133.16,150,0.114241
-13.605,9,0.11824
-29.58,17,0.12324
-26.39,15,0.132252
-12.29,7,0.135407
-12.885,13,0.140407
-29.9,25,0.148929
-122.31,150,0.183047
-21.145,13,0.187046
-17.865,19,0.192046
-43.985,31,0.200046
-16.27,13,0.205508
-27.91,23,0.212508
-10.625,5,0.214509
-14.37,12,0.218508
-19.055,22,0.22587
-30.955,25,0.23382
-37.315,20,0.23882
-21.695,19,0.244113
-19.605,17,0.250792
-39.135,25,0.257155
-25.23,22,0.263155
-72.74,42,0.272625
-24.965,12,0.280117
-13.655,12,0.283223
-36.535,26,0.289644
-28.375,29,0.297957
-45.955,36,0.309684
-31.2,37,0.32022
-97.925,150,0.35222
-11.335,9,0.35422
-128.315,78,0.375537
-28.98,18,0.381538
-43.585,82,0.400537
-25.27,28,0.408546
-27.85,25,0.41688
-124.92,150,0.44288
-195.28,150,0.474881
-8.92,5,0.476881
-28.405,16,0.484183
-12.15,8,0.486182
-18.555,17,0.492182
-50.35,34,0.500182
-45.19,35,0.511738
-19.035,15,0.515739
-13.805,11,0.519737
-12.655,15,0.523738
-16.565,11,0.528738
-32.815,18,0.533738
-95.61,150,0.570511
-32.095,17,0.575783
-9.15,6,0.580786
-24.16,12,0.583784
-22.775,26,0.591133
-21.025,16,0.596133
-21.595,13,0.602137
-14.16,8,0.604138
-21.49,15,0.609138
-14.13,18,0.61414
-38.865,25,0.623915
-34.78,51,0.634915
-26.65,15,0.640179
-10.67,9,0.642177
-21.285,19,0.650409
-84.445,55,0.662409
-30.015,28,0.670409
-142.375,150,0.698811
-135.335,150,0.729172
-71.085,150,0.758482
-22.33,16,0.763482
-15.265,9,0.765482
-19.645,12,0.772483
-10.8,6,0.774482
-19.985,21,0.780485
-23.12,16,0.784929
-17.63,20,0.792125
-24.255,22,0.798464
-26.94,25,0.805731
-107.375,150,0.843133
-46.575,27,0.853133
-187.97,150,0.886366
-77.275,150,0.914648
-122.185,150,0.941652
-16.915,18,0.949847
-133.785,89,0.972673
-11.53,11,0.975673
-65.85,44,0.986623
-36.47,28,0.996641
-153.405,150,1.024067
-37.38,24,1.030067
-16.99,15,1.035066
-16.795,11,1.041093
-212.59,150,1.065902
-41.245,26,1.072901
-20.805,11,1.076357
-30.695,23,1.085708
-12.54,12,1.088708
-15.24,7,1.090709
-25.48,22,1.097708
-43.44,150,1.128478
-161.47,150,1.156847
-14.605,10,1.159847
-120.425,150,1.187038
-19.105,13,1.19347
-19.535,11,1.19647
-17.945,17,1.20147
-16.33,12,1.20547
-23.72,22,1.213471
-22.43,17,1.218472
-12.275,10,1.221471
-15.305,24,1.228471
-25.215,13,1.23429
-10.29,11,1.237534
-40.88,27,1.244839
-32.5,19,1.250069
-29.38,17,1.25615
-37.57,21,1.262458
-33.43,23,1.269458
-17.495,13,1.273612
-17.52,12,1.299967
-32.105,21,1.31797
-14.01,12,1.329268
-13.08,11,1.336266
-72.43,49,1.378994
-19.6,14,1.389994
-21.205,14,1.402994
-15.66,11,1.410997
-72.025,150,1.521885
-40.05,30,1.542885
-24.405,55,1.582882
-24.76,13,1.591881
-23.33,17,1.614845
-14.655,14,1.627844
-28.36,19,1.648197
-19.24,16,1.666317
-180.675,150,1.799542
-30.445,23,1.820449
-16.045,14,1.832937
-16.965,12,1.844933
-26.16,18,1.867937
-36.745,24,1.893625
-110.445,150,2.040563
-15.125,18,2.058562
-21.15,14,2.076004
-16.95,14,2.09105
-28.93,17,2.1105
-16.9,10,2.1235
-25.23,18,2.145457
-10.87,9,2.157456
-31.89,22,2.177492
-17.805,15,2.192665
-10.64,7,2.203071
-11.24,9,2.212071
-66.185,47,2.254687
-18.215,19,2.269151
-30.475,46,2.310566
-16.63,13,2.321559
-19.45,13,2.332568
-25.895,14,2.346848
-30.03,17,2.364741
-12.985,8,2.371878
-43.72,33,2.396879
-13.92,14,2.408335
-26.795,42,2.446785
-27.275,12,2.459036
-32.555,16,2.474039
-66.125,30,2.499039
-26.865,18,2.514705
-22.665,15,2.529706
-32.005,43,2.565917
-12.4,12,2.575917
-38.59,21,2.594916
-10.01,8,2.603345
-27.795,15,2.617345
-23.975,13,2.626345
-13.72,11,2.638597
-19.8,17,2.6556
-22.85,28,2.6766
-26.91,21,2.6936
-21.31,14,2.711328
-20.135,23,2.732328
-52.035,33,2.756328
-19.975,11,2.765328
-24.115,30,2.792281
-45.255,39,2.819911
-15.08,16,2.832911
-27.14,13,2.842942
-60.655,33,2.873696
-7.83,5,2.878697
-20.685,11,2.886696
-31.495,21,2.903696
-19.085,11,2.917692
-12.83,12,2.928696
-22.525,19,2.94986
-11.665,8,2.957271
-11.73,8,2.967467
-27.295,15,2.982469
-51.59,30,3.007467
-26.84,21,3.026467
-14.41,16,3.044946
-16.005,11,3.054945
-23.28,21,3.077084
-12.255,11,3.086082
-16.99,10,3.099896
-19.32,16,3.112898
-29.06,24,3.133909
-22.165,16,3.148257
-22.94,18,3.168202
-18.975,17,3.187619
-17.645,10,3.19662
-61.56,33,3.221619
-10.945,13,3.237034
-33.98,16,3.252714
-28.51,23,3.271418
-15.935,12,3.281428
-16.555,10,3.293916
-31.54,16,3.308643
-18.525,22,3.326934
