#{"t_start": 1775678045.3792155, "env_id": "None"}
r,l,t
-4.616,60,0.108721
-24.111,150,0.156839
-25.477,150,0.197935
-5.024,71,0.218932
-21.038,150,0.26163
-28.203,150,0.292995
-17.701,150,0.321996
-36.329,150,0.352996
-37.332,150,0.386159
-38.572,87,0.405231
-24.194,150,0.438194
-143.575,150,0.469611
-23.861,150,0.508475
-35.125,150,0.536605
-65.347,150,0.568786
-19.587,150,0.603549
-8.223,77,0.627874
-26.056,150,0.669528
-42.905,150,0.707553
-18.057,150,0.746805
-4.405,64,0.771851
-15.495,150,0.802014
-27.573,150,0.834446
-20.561,150,0.865775
-22.201,150,0.899321
-124.656,150,0.93557
-17.682,150,0.968049
-15.078,150,0.997856
-134.918,150,1.033229
-18.348,150,1.070723
-134.836,150,1.099975
-20.177,150,1.134976
-23.478,150,1.176129
-6.169,111,1.202315
-26.725,150,1.239349
-141.441,150,1.26835
-25.341,150,1.319725
-22.31,150,1.350725
-36.811,150,1.38013
2.232,5,1.382129
0.088,44,1.397621
-28.052,150,1.431039
-13.862,150,1.465279
-30.646,150,1.495588
-28.333,150,1.533178
-34.41,150,1.569777
-27.957,150,1.603993
-23.269,150,1.636285
-26.75,150,1.677311
2.478,4,1.678312
-23.946,150,1.714305
-19.373,150,1.749813
-20.71,150,1.800998
-35.1,42,1.812999
-27.645,10,1.815999
-23.075,150,1.846998
-34.44,150,1.875656
-15.832,150,1.908921
-19.298,150,1.94392
-3.332,60,1.959033
-114.669,150,1.997398
-27.14,150,2.038507
-25.561,150,2.07985
-17.971,150,2.119977
-27.599,150,2.153395
-32.497,150,2.196563
-17.626,150,2.229563
-107.251,150,2.261563
-133.833,150,2.295864
-28.637,150,2.324208
-0.607,21,2.330209
-1.079,27,2.337209
-23.406,150,2.374341
-27.12,150,2.405522
-17.798,150,2.43852
-19.213,150,2.472736
-36.441,150,3.780025
-31.205,150,5.796396
-38.249,150,7.390106
-5.045,90,8.229449
-29.325,150,9.691168
-15.289,150,11.362801
-40.562,150,12.82668
-11.452,150,14.233166
-17.858,150,16.088613
-26.878,150,17.639049
-17.619,150,19.042095
-33.366,150,20.405578
-19.787,150,21.955314
-28.338,26,22.200091
-30.774,25,22.499651
-18.445,150,23.955014
-19.202,150,25.551279
-23.287,150,27.529149
-21.138,150,29.089977
-16.011,150,30.515619
-16.98,150,31.926348
-23.405,150,33.615012
-4.806,63,34.422541
-24.029,150,35.92182
-23.753,150,37.344141
-27.317,150,38.931031
-22.517,150,40.387996
-31.021,20,40.586479
-28.626,150,41.996908
-22.292,150,43.693493
-15.522,150,45.43506
-14.265,150,46.962563
-23.458,150,48.432667
-37.341,150,50.054598
-16.24,150,51.538773
-1.459,47,52.056823
-16.055,150,53.729733
-34.833,59,54.397051
-3.364,83,55.303406
-16.445,150,56.7057
1.452,7,56.797478
-134.7,150,58.221007
-45.787,33,58.516254
-20.346,150,60.05386
-31.084,14,60.261905
-24.49,150,61.781996
-35.713,150,63.467149
-29.662,150,64.946414
-27.728,150,66.547885
-11.867,150,67.953246
-15.787,150,69.352611
-20.219,150,70.73035
-13.887,150,72.277402
-27.706,150,74.019438
-30.469,150,75.45691
-21.066,150,76.867738
-14.639,150,78.403493
-34.401,150,79.908769
-34.86,150,81.579982
-19.465,150,83.05468
-33.983,150,84.710129
-39.382,39,85.316043
-23.016,150,87.057961
-25.46,150,88.524248
-31.27,150,90.105153
-69.096,72,90.998061
-18.461,150,92.677876
-21.587,150,94.073718
-26.37,150,95.650424
-23.408,150,97.170699
-16.158,150,98.708328
-0.539,44,99.280728
-37.586,150,100.885198
-12.873,150,102.453002
-0.432,33,102.759727
-14.749,150,104.140701
-13.489,150,105.604851
-49.166,36,105.948622
-35.702,150,108.036289
-21.774,150,109.804774
-28.546,150,111.227203
-27.9,150,112.878538
-30.219,150,114.287444
-33.897,26,114.552536
-39.209,150,115.974009
-43.766,150,117.616734
-35.76,150,119.033051
-18.549,150,120.711889
-32.18,32,121.042445
-3.765,51,121.542413
-24.348,150,123.135038
-43.941,32,123.454205
-26.621,150,124.942526
-15.497,150,126.32164
-40.218,150,128.045803
-17.977,150,129.666331
-19.596,150,131.102867
-30.478,77,131.815522
-25.557,150,133.273998
-26.279,150,134.827831
-14.891,150,136.235474
-10.226,150,137.83444
-22.05,150,139.559601
-24.079,150,141.019884
-16.622,150,142.425922
-19.636,150,143.894578
-18.643,150,145.63113
-21.419,150,147.295081
-20.396,150,148.723528
-15.325,150,150.375822
-25.746,150,151.96239
-14.571,150,153.471207
-44.717,150,155.042007
-20.59,150,156.870447
-33.698,29,157.145662
-27.833,150,158.753132
-19.089,150,160.42696
-31.85,150,161.956473
-29.723,150,163.350436
-13.884,150,164.805266
2.488,4,164.857097
-11.781,76,165.592891
-36.553,150,167.382575
-25.888,150,168.904984
-37.687,85,169.739423
-14.018,150,171.150936
-6.289,150,172.804157
-30.122,150,174.302039
-33.126,18,174.57579
-29.383,150,176.180474
-28.875,150,177.788738
-32.308,150,179.238774
-33.722,150,180.676359
-22.781,150,182.036826
-13.815,150,183.768271
-21.238,150,185.476108
-27.937,150,186.960207
-14.045,150,188.608594
-23.82,150,190.112195
-35.096,150,191.505814
-50.787,150,193.000283
-20.384,150,194.561307
-15.393,150,196.224224
-27.754,39,196.61797
2.633,5,196.673839
-20.458,150,198.070789
-20.337,150,199.729435
-23.186,150,201.143966
-22.03,150,202.666361
-125.855,150,204.507772
-19.097,150,205.986809
-19.053,150,207.382935
-31.2,150,208.855654
-46.335,48,209.388156
-20.883,150,210.883774
-39.536,77,211.651124
-14.91,150,213.181007
-19.279,150,214.945273
-12.142,150,216.46921
-27.67,15,216.623026
-30.577,150,218.09537
2.464,8,218.170503
-13.198,150,219.634849
-37.505,21,219.82297
-39.553,36,220.345819
-32.185,150,221.889067
-20.555,150,223.278902
-25.486,150,224.836087
-3.777,96,226.024215
-21.359,150,227.655257
-28.718,20,227.843515
-11.808,150,229.281688
-30.549,150,230.687734
-14.506,150,232.459579
-37.675,150,234.137614
-35.67,150,235.604426
-29.098,150,237.14244
-6.421,90,238.118734
-44.527,69,238.776621
-11.573,150,240.166986
-45.513,36,240.536863
-13.269,150,242.104334
-0.948,45,242.763709
-14.058,150,244.349922
-23.184,150,245.793575
-19.145,150,247.203712
-34.161,150,248.79162
-0.645,55,249.375491
-20.757,150,251.064743
-34.593,150,252.556682
-9.462,150,254.143225
-14.476,150,255.617216
-25.813,23,255.880709
-27.414,150,257.329729
-105.367,150,259.016154
-21.386,150,260.836426
-13.019,150,262.403805
-12.309,150,264.02189
-21.234,150,265.621413
-16.049,150,267.042291
-111.677,150,268.48463
-10.272,150,270.161601
-18.426,150,271.767853
-2.689,75,272.609334
-40.069,150,274.080218
-34.737,40,274.533688
-2.184,40,274.99291
-27.784,16,275.181861
-15.406,150,276.655306
-20.549,150,278.168841
-29.173,150,279.998759
-24.342,150,281.669638
-13.907,150,283.095707
-117.037,150,284.601419
-1.057,50,285.057515
-28.684,150,286.697876
-33.833,63,287.355341
-9.312,150,288.841624
-25.361,150,290.549735
-24.85,150,292.206394
2.62,4,292.260545
-12.352,150,293.742605
-71.729,150,295.139686
-29.391,150,296.735756
-33.749,29,297.023653
-29.633,20,297.223962
-17.787,150,298.652823
-33.943,150,300.057178
-16.329,150,301.829377
-21.344,150,303.392586
-32.431,150,304.815171
-21.578,150,306.235132
-2.178,54,306.757382
-15.79,150,308.53473
-12.616,150,310.146114
-11.855,150,311.563963
-17.751,150,313.077775
-30.723,27,313.36903
-29.717,150,315.48615
-18.177,150,317.216285
-20.278,150,319.459284
-32.158,150,321.025133
-17.8,150,322.47727
-12.678,150,324.139956
-43.87,150,325.832505
-21.279,150,327.545005
-15.37,150,329.061598
-30.046,150,330.668675
-34.931,48,331.142883
-30.825,150,332.603281
-15.4,150,333.994897
-14.008,150,335.637388
-41.669,150,337.395093
-14.189,150,338.968709
-13.161,150,340.533069
-15.524,150,342.027102
-26.364,150,343.467837
2.579,6,343.543374
-40.734,38,343.88626
-9.8,150,345.422943
-35.195,150,346.962878
-39.987,150,348.648414
-27.914,41,349.028481
-32.176,31,349.327092
-34.191,150,350.899225
-14.116,150,352.400313
-28.834,150,353.815502
-20.241,150,355.45852
-11.048,150,357.212205
-22.957,150,358.703231
-22.092,150,360.093945
-13.651,150,361.611846
1.436,6,361.725521
-42.959,74,362.542137
-27.11,150,363.980916
-4.97,84,364.851309
-34.452,150,366.636478
-23.579,150,368.254448
-17.864,150,369.700331
-20.194,150,371.089852
-37.249,150,372.72831
-33.125,150,374.504663
-26.686,150,375.946138
-6.965,117,377.05479
-7.0,150,378.591093
-30.889,150,380.149882
-19.993,150,381.599418
-16.638,150,383.133389
-4.543,101,384.360959
-34.695,150,385.993713
-20.629,150,387.401695
-38.097,150,388.831926
-20.504,150,390.349109
-21.721,150,391.910909
-12.588,150,393.31935
-20.185,150,394.899828
-22.294,150,396.602263
-23.755,150,398.286694
-17.547,150,399.796682
-23.606,150,401.270857
-11.885,150,403.089085
-23.287,150,404.686039
-16.754,150,406.063604
-34.507,150,407.533321
2.358,4,407.581412
-16.73,150,409.123394
-23.688,150,410.7973
-3.146,93,411.790791
2.506,5,411.84725
-20.265,150,413.563664
-33.876,150,415.142163
-13.481,150,416.620804
-25.886,150,418.049252
-28.449,150,419.511448
-31.976,150,421.056584
-23.329,150,422.515949
-33.037,49,422.99421
-15.655,150,424.634701
-8.163,150,426.280513
-11.159,150,427.725606
2.555,3,427.786957
-16.043,150,429.238691
-120.972,150,430.872032
-20.847,150,432.632972
-11.746,150,434.061137
-14.502,150,435.503396
-26.395,150,437.171951
-24.772,150,438.603968
-12.016,150,440.064625
-34.59,38,440.494902
-23.97,150,442.296882
-17.618,150,443.810103
-20.846,150,445.223043
-10.341,150,446.771695
-39.707,48,447.291652
-40.78,84,448.107959
-14.221,150,449.544262
-22.465,150,450.966047
1.535,8,451.043475
-49.634,150,452.811482
-26.368,150,454.307631
-14.895,150,455.742802
-7.428,150,457.212947
-31.867,150,458.885946
-99.904,150,460.688405
-13.381,150,462.124355
-19.295,150,463.761137
-39.722,41,464.15303
-58.575,150,465.58632
-34.526,150,467.025847
-14.283,150,468.582057
-25.519,150,470.357876
-14.204,150,471.869408
-0.89,66,472.50444
-26.313,33,472.805218
-18.016,150,474.461727
-13.28,150,475.954334
-16.611,150,477.395022
-14.925,150,478.838202
2.722,4,478.885366
-14.972,150,480.463499
-20.0,150,482.146839
-9.508,150,483.573961
2.622,4,483.612537
-16.44,150,485.164708
-19.92,150,486.757936
-130.439,150,488.261183
-13.569,150,489.981637
2.813,4,490.033059
-9.822,150,491.540512
-30.287,150,493.06775
-28.684,150,494.460367
-26.321,17,494.629843
-29.129,150,496.051759
-28.997,49,496.54375
-16.859,150,498.220598
-17.98,150,499.932063
-30.248,13,500.046232
-28.996,20,500.236564
-20.671,150,501.664522
-20.803,150,503.296004
-33.211,30,503.625314
-41.461,76,504.343939
-16.114,150,505.792534
-37.078,150,507.274612
-42.986,150,508.921761
-9.923,150,510.603461
-8.508,150,512.010086
-47.772,51,512.547138
-24.384,150,514.175922
-26.602,150,515.606622
-7.961,150,517.120098
2.679,5,517.179113
-14.206,150,518.991802
-17.005,150,520.56959
-25.795,150,521.997221
-31.085,35,522.926249
-15.891,150,524.495728
-23.244,150,526.015171
-16.509,150,527.654118
-31.977,27,527.988375
-35.687,36,528.381443
-22.383,150,530.046806
-32.01,150,531.502509
-2.101,55,532.075269
-29.888,150,533.509707
-35.897,150,535.04565
-15.926,150,536.597851
-47.161,59,537.163674
-8.632,150,538.648973
-28.896,150,540.324171
-17.916,150,541.929108
-7.846,150,543.416458
-26.136,150,545.19154
-15.321,150,547.382447
-41.402,28,547.782869
-40.156,150,549.328168
-8.796,150,550.726699
-29.289,150,552.367021
-33.051,50,552.838953
-13.361,150,554.315737
-15.141,150,555.762628
-53.744,71,556.653403
-26.121,17,556.910919
-20.788,150,558.574603
-10.815,150,559.973027
-12.206,150,561.386578
-22.816,150,562.969657
-47.94,79,563.940321
-1.376,55,564.645292
-17.809,150,566.25701
-24.072,150,567.897012
-32.61,150,569.359725
-31.493,37,569.751396
-47.92,51,570.200883
-14.357,150,571.624068
-31.385,150,573.226706
-19.054,150,574.986907
-14.655,150,576.49337
-42.917,150,577.989824
-26.659,21,578.246473
-19.07,150,579.844218
-19.893,150,581.243581
2.564,6,581.314532
-28.309,150,582.741161
-10.483,150,584.38246
-22.749,150,585.957503
-35.617,35,586.411257
-23.336,150,587.870556
-40.319,65,588.54377
-15.047,150,590.179661
-23.975,150,591.621022
-17.406,150,593.227535
-20.969,150,595.037468
-19.738,150,596.504956
-53.583,102,597.52676
-28.576,37,597.889028
-26.424,150,599.280808
-30.901,150,600.928464
-28.612,150,602.404616
-38.452,150,604.20507
-10.696,150,605.989943
-24.719,150,607.735246
-39.503,150,609.237412
-11.211,150,610.829516
-7.925,150,612.400879
-12.687,150,613.873202
-122.748,150,615.549488
-35.27,44,615.995751
-15.834,150,617.734338
-38.279,42,618.143973
-35.185,53,618.687691
-15.693,150,620.122418
-40.491,150,621.639692
2.58,8,621.729957
-16.109,150,623.551003
-19.147,150,625.045261
-33.681,150,626.475469
-7.668,150,628.039598
-7.602,150,629.556527
-12.483,150,631.083645
-11.112,150,632.778615
-106.607,150,634.465216
-22.41,150,635.885914
-31.413,150,637.355329
-34.4,20,637.549692
-15.841,150,639.13771
-39.547,150,640.615843
-14.601,150,642.076962
-42.993,73,642.780729
-26.589,13,642.958051
-20.608,150,644.706656
-28.582,150,646.254066
-17.997,150,647.683928
-35.788,58,648.250444
-10.599,150,649.931244
-47.309,150,651.719947
-31.411,150,653.217573
-27.035,41,653.618781
-31.088,150,655.257021
-73.84,85,656.140586
-40.708,150,657.607299
-19.811,150,659.010356
-35.088,150,660.731277
-8.603,150,662.455721
-14.799,150,663.87568
-31.289,26,664.106794
-145.693,150,665.680599
-20.505,150,667.217091
-30.144,29,667.492882
-29.72,31,667.803109
-21.325,150,669.243625
-43.242,56,669.799556
-7.445,150,671.351846
-34.608,150,673.097013
-28.218,150,674.513149
-5.56,150,676.054027
-24.08,150,677.611859
2.74,3,677.652262
-34.607,150,679.185739
-46.062,46,679.767632
-28.279,27,680.115908
-27.914,150,681.733664
-35.502,150,683.329925
-44.849,69,684.006079
-26.762,16,684.158313
-13.317,150,685.600926
-37.447,150,687.152806
-13.027,150,688.723058
-37.48,69,689.534373
-20.402,150,691.14763
-19.772,150,692.733054
-21.417,150,694.246529
-253.971,150,695.692461
-29.125,23,695.885434
-27.601,150,697.326273
-19.833,150,698.968074
-31.303,150,700.398612
-18.011,150,702.066354
-34.624,150,703.518986
-21.244,150,705.079366
-24.074,150,706.61905
-30.223,150,708.16848
-29.942,150,709.870977
-22.828,150,711.401769
-29.643,150,712.989551
-12.517,150,714.40757
-22.887,150,715.900594
-37.874,47,716.359388
-131.843,150,717.996303
-9.754,150,719.784483
-23.053,150,721.185515
-66.793,101,722.155289
-35.972,150,723.846659
-23.435,150,725.275405
-15.374,150,726.70995
-49.059,150,728.263158
-28.368,150,729.879954
-24.012,150,731.465498
-35.028,101,733.556102
-38.159,150,735.132481
-32.262,53,735.72082
-37.235,35,736.076848
-31.562,36,736.435544
-35.931,150,738.218909
-21.424,150,739.664054
-36.573,40,740.064686
-39.37,76,740.923183
-29.534,150,742.453535
-36.864,26,742.686623
2.33,3,742.72463
-18.054,150,744.137077
-17.953,150,745.715144
-15.533,150,747.526429
-25.584,150,749.127877
-26.806,150,750.5488
-29.859,150,752.106634
-23.542,150,753.641901
-36.634,39,754.027848
-44.786,63,754.642879
-14.382,150,756.113845
-30.248,150,757.777276
-30.093,150,759.510788
-32.531,62,760.137916
-29.412,150,761.611742
-32.902,52,762.110291
-30.996,36,762.503392
-6.459,150,764.126625
-27.957,19,764.348954
-25.699,150,765.896687
-11.352,150,767.598229
-23.864,7,767.639523
-27.822,150,769.354299
-30.332,29,769.627841
-45.775,46,770.082505
-12.46,150,771.493976
-31.65,43,771.920973
-7.348,150,773.469601
-146.463,150,775.076025
-7.131,150,776.790874
-9.833,150,778.320899
-20.373,150,779.938439
-44.487,150,781.409425
-33.943,23,781.646603
-35.878,37,782.008301
-52.341,150,783.414784
-25.7,150,785.048191
-33.408,150,786.507398
-31.849,31,786.854404
-39.754,150,788.539971
-33.01,32,788.849893
-45.392,150,790.490817
-38.678,150,791.99256
-28.463,150,793.390332
-7.666,150,795.240083
-18.088,150,796.851675
-43.611,150,798.311432
-22.258,150,799.733937
-35.768,58,800.411986
