#{"t_start": 1775760256.0643532, "env_id": "None"}
r,l,t
-2.006,53,0.055945
-24.401,150,0.157495
-32.13,150,0.273373
-27.57,150,0.385115
-47.7,32,0.416593
-32.255,150,0.51418
-29.107,150,0.625718
-14.1,150,0.733969
-27.156,150,0.851536
-25.875,150,0.956519
-21.704,150,1.066553
2.173,7,1.072553
-47.712,150,1.179542
-26.544,150,1.283864
-40.25,150,1.386908
-18.13,150,1.492072
-30.148,150,1.603031
-36.621,81,1.667153
-15.296,150,1.780501
0.834,37,1.813747
-18.675,150,1.916027
-5.675,87,1.976027
-15.832,150,2.089668
-17.196,150,2.19557
-50.468,150,2.307242
-19.358,150,2.408221
-32.315,15,2.42222
-32.145,150,2.536028
-12.35,150,2.648774
-28.753,150,2.746758
-37.627,45,2.778975
-22.357,150,2.88834
-19.339,150,2.991488
-3.358,58,3.033683
-26.121,150,3.139584
-12.539,150,3.25037
2.56,3,3.25437
-33.716,150,3.375584
-42.909,39,3.405985
-20.814,150,3.502279
-15.725,150,3.610869
0.352,48,3.648383
2.256,6,3.653383
-25.933,150,3.765926
-32.223,150,3.858871
-5.032,104,3.935871
-35.067,150,4.03913
-17.497,150,4.150828
-0.699,39,4.182843
-14.709,150,4.293129
-15.571,150,4.401569
-32.228,150,4.51531
-28.914,150,4.62138
-41.075,44,4.652758
-22.809,150,4.75796
-29.103,150,4.869495
-3.561,59,4.917551
-27.769,150,5.01926
-13.976,150,5.134053
-48.552,73,5.186563
-18.815,150,5.311146
-19.613,150,5.417921
-15.77,150,5.518925
-31.336,150,5.631418
-18.55,150,5.735312
-23.839,150,5.852211
-21.073,150,5.960337
-23.624,150,6.071982
-37.195,150,6.17803
-29.665,150,6.286022
-26.187,150,6.392206
-0.855,51,6.431603
-27.549,150,6.544174
-23.556,150,6.645951
-4.483,66,6.699443
-30.814,29,6.731447
-32.799,17,6.747447
-19.028,150,6.858608
-29.435,15,6.870885
-17.273,150,6.981966
0.556,35,7.011305
-18.929,150,7.122077
-26.243,150,7.225312
-13.194,138,7.3342
-25.388,150,7.454256
-16.663,150,7.576047
-17.51,150,7.695173
-17.275,150,7.820681
-24.964,150,7.946083
-13.938,150,8.052221
-23.321,150,8.178091
-15.581,150,8.296256
-1.268,36,8.333037
-13.765,150,8.436626
-36.457,150,8.545493
-17.905,150,8.678797
-28.278,150,8.802194
-26.312,150,8.905407
-29.757,28,8.932406
-23.132,150,9.033788
-8.556,122,9.127014
-27.014,150,9.23446
-16.674,150,9.35181
-19.196,150,9.459396
-23.995,150,9.562858
-18.886,150,9.679038
-18.553,150,9.786462
-37.443,49,9.825083
-14.968,150,9.945834
-136.801,150,10.047382
-16.361,150,10.161632
-21.025,150,10.271816
-37.678,46,10.3039
-14.493,150,10.412367
-16.594,150,10.525952
-16.668,150,10.63809
-18.629,150,10.738615
2.604,8,10.744614
-28.908,150,10.860268
-2.783,43,10.894265
-21.974,150,11.002188
-25.328,150,11.105712
-38.412,150,11.21888
-22.952,150,11.320619
-0.879,41,11.351089
-22.088,150,11.462219
-25.075,150,11.574605
-18.013,150,11.688784
-22.216,150,11.796895
-4.424,69,11.844524
-20.733,150,11.965509
-30.24,150,12.069518
-14.834,150,12.185072
-26.441,150,12.29692
2.118,6,12.301919
-25.653,150,12.413802
-14.998,150,12.526329
-20.642,150,12.638728
-26.379,150,12.742862
-20.201,150,12.847036
-135.601,150,12.961981
-14.849,150,13.067995
-2.719,55,13.109319
-44.433,38,13.137319
-15.793,150,13.252793
-16.945,150,13.355723
-21.064,150,13.462972
-14.095,150,13.566676
-23.523,150,13.678178
-1.416,69,13.726178
-19.309,150,13.844148
-18.952,150,13.965425
0.452,51,14.006621
-3.803,65,14.05862
-34.734,150,14.154842
-0.475,36,14.182249
-15.736,150,14.292958
-27.165,150,14.397407
-7.664,124,14.489768
-21.624,150,14.600725
-2.115,68,14.649878
-19.671,150,14.758091
-17.813,150,15.321158
-29.103,57,15.361775
-30.666,150,15.460941
-17.507,150,15.56876
-22.119,150,15.683923
-36.8,150,15.785946
-27.824,150,15.88289
-14.668,150,15.997334
-16.076,150,16.102497
-17.403,150,16.211127
-29.162,150,16.321125
-10.158,150,16.424574
-17.411,150,16.536565
-15.76,150,16.676904
-15.188,150,16.788653
-13.062,150,16.942631
-16.879,150,17.052028
-3.227,60,17.102503
-2.051,62,17.154235
-11.275,150,17.266234
-20.701,150,17.379556
-1.577,48,17.415556
-12.399,150,17.522607
-16.389,150,17.627878
-14.121,150,17.733912
-17.091,150,17.843165
-24.056,150,17.958702
-27.181,16,17.972825
-2.46,71,18.031066
-27.244,150,18.140134
-12.609,150,18.244022
0.441,36,18.277919
-25.053,150,18.381037
-14.437,150,18.488138
-18.894,150,18.602021
-11.635,150,18.72999
-26.068,150,18.848411
-24.749,150,18.98166
-8.95,150,19.110701
-43.365,150,19.219611
-123.84,150,19.333054
-5.868,61,19.381196
-2.141,55,19.430667
-17.911,150,19.563349
-15.781,150,19.670663
-18.087,150,19.786306
-18.66,150,19.899018
-35.556,150,19.996508
-21.939,150,20.108194
2.275,3,20.111192
-0.977,49,20.151338
-17.43,150,20.267995
-14.598,150,20.375222
-13.907,150,20.484787
-19.447,150,20.586634
-20.505,150,20.707886
-20.052,150,20.823046
-31.168,150,20.936442
-35.284,150,21.042846
-34.226,27,21.062846
-9.361,150,21.166195
-36.324,37,21.199195
-15.773,150,21.307621
-24.38,150,21.424671
-38.304,150,21.528591
-8.376,150,21.660534
-14.345,150,21.791239
-26.643,150,21.920565
2.07,8,21.92701
-18.908,150,22.045178
-14.463,150,22.15482
-16.234,150,22.270633
-13.045,150,22.390066
-1.921,50,22.437568
-19.591,150,22.540631
-16.235,150,22.660185
-11.479,150,22.773041
-14.435,150,22.887233
-18.073,150,23.000408
-15.916,150,23.106695
-18.253,150,23.219563
-15.756,150,23.320875
-9.091,150,23.430385
-16.014,150,23.534395
-54.041,34,23.565127
-14.205,150,23.670485
-10.592,150,23.78614
-1.854,55,23.827141
-15.392,150,23.943433
-20.891,150,24.051269
-0.195,41,24.082239
-28.848,150,24.189747
-11.567,150,24.302793
-17.676,150,24.403389
-26.24,9,24.410672
-20.344,150,24.516431
-11.454,150,24.62525
-24.284,150,24.729564
-38.396,150,24.826478
