#{"t_start": 1775680297.839835, "env_id": "None"}
r,l,t
-137.699,150,0.138347
-42.044,48,0.158347
-19.332,150,0.213741
-27.112,150,0.260491
-15.799,150,0.298028
-17.809,150,0.338467
-36.935,150,0.374511
-30.137,150,0.415504
-23.589,150,0.48125
-35.043,71,0.504701
-24.226,150,0.546102
-20.992,150,0.588758
2.281,5,0.594167
-18.491,150,0.636567
-19.1,150,0.675847
-3.321,47,0.69068
-153.12,150,0.746034
-30.321,150,0.791522
-24.833,150,0.833753
-23.896,150,0.884135
-17.275,150,0.928068
-23.246,150,0.964667
-17.124,150,1.005787
-21.769,150,1.045711
-23.698,150,1.094778
-7.825,111,1.12689
-25.003,150,1.161741
-28.384,23,1.169303
-30.461,150,1.210591
-25.779,150,1.250579
-22.374,150,1.289259
-31.312,150,1.325595
-7.181,62,1.354323
-24.708,150,1.39945
-20.784,150,1.451532
-6.582,99,1.487048
-37.518,33,1.500191
-14.728,150,1.539218
-52.026,150,1.572234
-28.896,150,1.610995
-25.073,150,1.653737
-32.189,150,1.69543
-27.859,150,1.727351
-16.453,150,1.778411
-22.64,150,1.820534
-31.084,150,1.860527
-18.219,150,1.906989
-26.674,150,1.951887
-30.133,150,1.995844
-24.456,150,2.039449
-1.391,38,2.054571
1.77,4,2.055571
-40.652,150,2.12106
-25.679,150,2.163352
-14.684,150,2.200352
-17.114,150,2.242719
-19.775,150,2.285229
-8.526,109,2.310196
-37.52,34,2.320196
-22.677,150,2.360531
-46.197,32,2.373777
-34.487,150,2.411945
-21.899,150,2.457856
-24.062,150,2.50887
-24.443,150,2.556902
-31.349,150,2.620406
-32.17,150,2.660807
-31.913,150,2.69836
-33.1,15,2.70756
-28.687,150,2.741184
-34.008,150,2.78087
-34.511,30,2.79087
-49.389,61,2.815444
-41.036,150,2.853008
-21.38,150,2.888748
2.791,5,2.890748
-19.468,150,2.942386
-19.598,150,2.983109
-6.393,118,3.01784
-16.228,150,4.004469
-23.203,150,5.848289
-1.351,53,6.478157
-24.353,150,8.002348
-23.978,150,9.614769
-26.041,150,11.391335
-29.479,150,12.998056
-25.048,150,14.486685
-62.587,125,15.76415
-25.27,150,17.528707
-24.224,150,19.292171
-23.33,150,20.768912
-21.563,150,22.341682
-25.048,150,23.947539
-32.45,150,25.562894
-20.752,150,27.10008
-35.795,48,27.644569
-16.238,150,29.469368
-42.073,150,31.013
-17.434,150,32.532436
-18.732,150,33.982597
-35.13,40,34.402237
-25.282,150,36.367166
-36.963,150,37.939992
-23.489,150,39.453584
-26.533,15,39.59157
-22.453,150,41.225035
-26.905,150,42.748643
-27.505,13,42.909131
-22.965,150,44.423123
-30.607,150,46.217738
-44.859,150,47.860107
-30.271,21,48.071882
-18.689,150,49.624452
-22.85,150,51.100738
-22.524,150,52.796004
-27.959,150,54.511857
-24.333,150,56.105046
-18.825,150,57.746772
-22.933,150,59.257464
-19.229,150,60.746168
-25.281,22,60.999162
-14.457,150,62.562385
-20.113,150,64.379225
-25.199,150,65.921426
-32.898,26,66.213039
-28.406,150,67.723159
-17.907,150,69.447222
-43.824,53,69.973053
-30.083,32,70.306682
-16.49,150,71.899033
-16.96,150,73.694902
-11.894,150,75.297122
-2.021,33,75.636414
-22.133,150,77.111886
-18.552,150,78.686697
-13.37,150,80.256607
-23.891,150,81.88521
-25.805,150,83.649951
-14.498,150,85.331351
-19.795,150,86.822314
-31.466,49,87.364665
-13.019,150,88.848021
-25.541,150,90.726176
2.665,5,90.770357
-38.747,47,91.338045
-25.246,150,92.844158
2.114,8,92.931229
-21.784,150,94.425062
-22.553,150,96.110724
-28.232,150,97.658188
-23.288,150,99.133948
-2.05,64,99.824104
-29.11,150,101.774659
-31.948,150,103.26368
-13.58,150,104.767104
-19.615,150,106.444395
-20.725,150,108.097937
-15.017,150,109.794115
-12.42,150,111.992656
-18.971,150,113.518495
-4.688,77,114.291435
-2.794,86,115.163883
-33.739,150,116.729831
-20.914,150,118.411156
-16.626,150,120.118265
-26.659,150,121.67423
-22.786,150,123.341778
-22.546,150,124.866344
-8.269,131,126.27013
-31.141,28,126.579597
-40.419,150,128.39777
-95.658,150,129.950171
-29.248,150,131.465921
-33.527,150,133.106137
-22.061,150,134.627474
-25.579,150,136.211882
-22.659,150,138.01528
-46.867,54,138.707446
-13.451,150,140.240146
-41.64,150,141.744201
-18.941,150,143.316841
-35.14,150,145.195485
-16.602,150,146.799469
-23.38,150,148.306963
-22.429,150,149.910992
-18.548,150,151.527239
-32.498,150,153.349321
-13.256,150,155.207708
-35.949,150,157.27164
-19.324,150,158.840293
-16.03,150,160.317305
-33.086,150,161.811073
-16.742,150,163.590207
-22.624,150,165.476019
-31.145,150,167.04206
-22.575,150,168.570484
-2.649,72,169.299894
2.386,6,169.340776
-22.908,150,171.008478
-20.445,150,172.575974
-18.338,150,174.324571
-4.262,77,175.156415
-22.744,150,176.856462
-15.423,150,178.385758
-35.952,34,178.717971
-35.719,150,180.240711
-27.298,19,180.447964
-11.668,150,182.286888
-28.958,150,183.894056
-0.17,30,184.180493
-28.067,36,184.533164
-1.543,60,185.140523
-2.197,62,185.999157
-32.424,150,187.729891
-18.974,150,189.281529
-20.023,150,190.785588
-15.153,150,192.705835
-34.997,150,194.248007
-34.011,150,195.7699
-13.275,150,197.381114
-25.073,150,199.109447
-26.196,150,200.854623
-37.518,150,202.437983
-18.435,150,204.159391
-11.529,150,205.815213
2.612,4,205.8544
-19.959,150,207.360846
-19.478,150,209.171399
-16.924,150,210.973336
-15.806,150,212.515205
-18.31,150,214.156059
-17.716,150,215.714603
-40.988,42,216.216875
-23.295,150,217.865111
-33.21,150,219.672972
-15.144,150,221.27482
-12.841,150,222.787045
1.572,8,222.866535
-19.633,150,224.479567
-16.981,150,226.076318
-12.595,150,227.699825
-12.723,150,229.388253
-28.435,150,231.082907
-21.47,150,232.582832
-47.12,150,234.118716
-19.626,150,235.80296
-30.911,31,236.212225
-4.314,64,236.956589
-30.804,150,238.515986
-20.195,150,240.027188
-11.682,150,241.683399
-23.263,150,243.236557
-42.16,85,244.090443
-12.744,150,245.773302
-30.602,150,247.779099
-19.251,150,249.33476
-12.325,150,250.848971
-29.97,22,251.088232
-33.541,31,251.454287
-19.188,150,253.070194
-18.838,150,254.82824
-13.553,150,256.429943
2.379,6,256.469198
-34.577,150,258.152763
-7.607,116,259.341894
-14.714,150,260.810655
-28.378,26,261.088267
-0.225,63,261.730012
-37.259,150,263.444577
-24.763,150,265.21195
-25.025,150,266.739397
-38.718,150,268.470641
-5.927,150,269.998913
-26.929,109,271.079245
-12.476,150,272.818594
-27.169,16,273.02472
-18.432,150,274.702296
-38.087,150,276.258399
-23.856,150,277.725651
-5.144,121,278.966648
-11.096,150,280.579178
-23.28,150,282.260157
-29.242,150,283.958614
-22.974,150,285.492787
-24.969,150,287.158542
-16.838,150,288.731683
-22.714,150,290.342347
-11.418,150,292.070134
2.264,5,292.124691
-29.769,150,293.70656
-34.741,150,295.299198
-24.584,150,296.77993
-23.625,150,298.337775
-8.401,150,300.101298
-9.877,150,302.163746
-27.702,150,303.769991
-32.772,150,305.42675
-14.779,150,306.990405
-23.764,150,308.623729
-24.495,150,310.282205
-18.24,150,311.908924
-29.311,150,313.455551
-21.307,150,315.003901
