#{"t_start": 1775496752.2966142, "env_id": "None"}
r,l,t
-95.53,150,0.131161
-129.12,150,0.177665
-174.535,150,0.227143
-74.35,150,0.264893
-68.875,150,0.305441
-89.36,150,0.338831
-12.5,48,0.351897
-30.135,150,0.389799
-54.645,150,0.446236
0.605,3,0.447674
-262.785,150,0.483482
-224.53,150,0.529123
-198.99,150,0.591607
-22.1,14,0.598609
-188.51,150,0.647449
-219.855,150,0.688292
-299.645,150,0.728124
-82.02,150,0.772555
-125.725,150,0.813197
-166.445,150,0.855466
-57.015,33,0.868574
-0.77,6,0.871574
-133.775,150,0.908692
-183.45,150,0.939598
-143.425,150,0.982197
-50.75,26,0.993727
-175.79,150,1.038578
-175.905,150,1.078255
-207.545,150,1.123147
-71.245,150,1.164633
-76.76,150,1.195086
-38.2,150,1.226163
-68.475,150,1.264421
-37.32,57,1.288948
-182.715,150,1.338603
-126.785,150,1.380699
-311.23,150,1.420749
-177.015,150,1.454672
-109.175,150,1.484
-36.175,82,2.482628
-87.695,150,4.773146
-40.245,48,5.562783
-96.59,150,7.611893
-248.44,150,9.469257
-132.505,150,11.413945
-80.23,150,13.551909
-105.38,150,15.562276
-207.855,150,17.444017
-30.045,150,19.455937
-44.065,28,19.809693
-212.885,150,21.787995
-143.9,150,23.9649
-37.27,29,24.335867
-48.495,150,26.202371
-235.54,150,28.134045
-205.95,150,30.008584
-204.72,150,31.946768
-287.545,150,33.963606
-280.52,150,36.121275
-240.96,96,37.295631
-296.98,150,39.269576
-208.215,150,41.378731
-65.33,150,43.345913
-53.935,150,45.23746
-166.745,150,47.107477
-167.475,150,49.089572
-36.3,150,51.657402
-280.71,150,54.457217
-293.085,150,56.509676
-313.195,150,58.485571
-104.665,71,59.633858
-123.42,150,61.612396
-292.885,150,63.726506
-153.34,80,64.735896
-255.49,150,66.559782
-120.245,150,68.491639
-80.54,35,68.990203
-22.93,18,69.278216
-160.115,71,70.30241
-105.87,66,71.204242
-43.68,28,71.580609
-139.67,150,73.6024
-58.165,77,74.934643
0.695,3,75.022361
-57.89,107,77.003168
-46.985,25,77.382601
-35.735,150,79.764278
-161.885,150,81.880192
-343.93,150,83.834688
-258.455,150,85.9705
-389.115,150,88.006515
-71.785,58,89.013628
-34.575,150,91.053798
-359.925,150,92.92156
-298.075,150,94.59899
-96.34,150,96.440904
-156.385,150,98.892563
-131.555,150,101.419792
-126.665,150,103.622206
-280.615,150,105.847326
-53.84,49,106.706244
-71.405,150,109.381495
-61.5,35,109.820473
-62.745,38,110.397363
-31.54,35,110.89818
-72.96,68,111.989295
-8.455,59,113.025028
-88.315,56,113.879251
0.6,4,113.946017
0.88,3,114.00177
0.79,3,114.055346
-165.39,150,116.350001
-73.955,50,117.581539
-22.955,19,117.93371
-164.455,150,120.09057
-97.12,150,122.190991
-332.605,130,124.049734
-116.905,150,126.146392
-158.74,150,127.950747
-57.145,35,128.369358
-73.555,35,128.758997
-266.34,150,130.537652
-155.935,150,132.534982
-79.45,150,134.932736
-30.08,23,135.538227
-94.16,90,136.909256
0.26,6,137.077425
-74.225,60,138.013843
-75.585,90,139.23263
0.895,3,139.313973
-115.78,150,142.109221
-277.155,150,145.454155
-100.175,150,147.740319
-105.115,150,151.238177
-101.835,55,152.619843
-145.515,150,156.110996
-382.995,150,158.277143
-34.58,25,158.630629
-313.03,150,160.990925
-162.215,150,163.644937
-163.8,150,165.612896
-74.03,37,166.18112
-90.95,42,166.839947
-48.2,54,167.744985
-135.04,57,168.614292
-35.52,150,171.0979
-57.44,69,172.338691
-115.725,150,174.99503
-178.535,150,177.638529
-272.235,150,180.383001
-55.435,42,181.325715
-293.455,150,184.113816
-115.05,150,186.619308
-25.875,36,187.087572
-241.245,150,189.338504
0.505,4,189.409865
-65.01,31,189.947684
-119.025,74,191.271954
-25.17,22,191.696626
-101.88,104,193.336427
-291.35,150,196.685294
-36.655,40,197.488158
-172.125,74,199.184147
-23.45,16,199.508111
-105.55,49,200.267845
-203.655,150,203.415368
-66.355,56,204.604833
-332.765,150,206.969418
-52.98,46,207.851935
-21.335,11,208.077353
-106.44,110,210.235138
-87.345,38,210.771271
-102.17,76,211.893379
-72.435,75,213.005394
-94.66,63,213.896194
-120.605,59,214.759951
-24.22,22,215.088746
-241.335,131,217.299229
-137.015,57,218.540571
-305.05,150,221.339601
-85.56,63,222.293816
-53.59,61,223.813001
-147.48,92,225.771101
-36.64,40,227.175638
-47.38,30,228.269342
-142.0,150,232.022941
-309.545,150,235.323219
-322.265,150,240.326741
0.88,3,240.334842
-56.035,40,240.932576
-194.945,150,243.350519
-81.645,41,244.002462
-85.765,40,244.577111
-63.685,35,245.106539
-67.665,47,246.119298
-221.465,150,248.296514
-128.74,89,249.890803
-93.8,53,250.851567
-259.84,150,252.730861
-70.27,38,253.208351
-297.67,150,255.090616
-43.82,38,255.627124
-29.205,26,255.943978
-29.62,19,256.256099
-241.67,150,258.309595
0.88,3,258.357433
-200.31,75,259.250936
-203.76,150,261.115763
-84.405,82,262.268286
-104.89,47,262.889028
-292.695,150,264.731215
-187.16,85,265.893078
-168.985,122,267.55421
-89.025,43,268.113643
-53.355,24,268.499951
-67.39,34,268.886346
-71.81,35,269.311451
-91.99,42,269.800414
-51.7,39,270.298334
-249.725,102,271.686656
-407.635,150,273.776561
-86.005,44,274.324868
-101.15,38,274.807432
-511.675,150,276.742728
-99.27,49,277.499879
-136.045,51,278.347316
-35.65,26,278.683122
-102.83,51,279.290825
-79.14,45,279.996902
-113.64,47,280.53331
-72.455,52,281.177429
-45.37,29,281.656041
-34.745,35,282.07234
-62.165,32,282.463287
-33.795,32,282.858431
-391.87,150,285.000863
-123.22,41,285.543916
-136.71,69,286.489172
-58.68,31,286.913988
-74.44,36,287.404015
-67.655,33,287.834832
-74.285,30,288.232061
-77.305,34,288.622571
-129.18,62,289.368885
-325.975,131,290.982274
-83.35,44,291.513657
-40.8,24,291.895513
-328.105,150,293.833233
-303.665,113,295.453247
-66.615,36,296.073767
-112.68,58,296.850533
-81.365,42,297.302498
-43.81,25,297.645056
-59.845,37,298.107059
-95.815,45,298.648795
-92.71,35,299.079923
-90.93,43,299.60557
-54.85,37,300.157182
-76.19,35,300.648191
-589.07,150,303.123831
-80.2,59,304.273291
-40.37,32,304.745409
-117.0,150,306.666163
-57.64,37,307.154662
-75.62,59,307.850772
-43.58,33,308.282245
-47.09,26,308.630794
-53.025,42,309.199542
-46.88,36,309.830042
-64.665,77,310.889986
-65.215,44,311.445795
-78.36,46,311.957796
0.88,3,312.017262
-103.06,68,312.888544
-57.205,35,313.357233
-27.655,21,313.613784
-25.835,15,313.883935
-62.255,37,314.402674
-88.775,40,314.8706
-79.09,39,315.361548
-22.42,14,315.513692
-73.715,34,315.957276
-54.96,35,316.373899
-41.455,32,316.755207
-58.925,34,317.134561
-302.395,87,318.20219
-74.685,51,319.066312
-104.42,39,319.632962
-54.815,32,320.045735
-67.345,48,320.650312
-66.14,32,321.019579
-46.475,29,321.397458
-80.495,47,322.225358
-48.93,24,322.793846
-212.42,69,324.021059
-52.085,33,324.757663
-65.5,34,325.318695
-91.675,46,326.287674
-54.64,39,326.847094
-78.575,53,327.797358
-37.985,30,328.371324
-26.97,21,328.785482
-395.285,150,331.039441
-83.62,64,331.837076
0.88,3,331.90476
-41.6,31,332.349658
-37.515,27,332.688554
-91.39,46,333.387189
-26.57,23,333.725554
-62.055,38,334.160258
-68.795,37,334.66843
-91.86,49,335.530672
-17.33,15,335.751933
-56.015,48,336.355883
-556.925,150,338.273873
-90.57,43,338.810098
-239.96,85,339.859586
-134.535,66,340.624468
-87.595,39,341.120896
-73.105,68,342.293791
-97.22,150,344.470246
-67.7,27,344.739412
-63.875,44,345.274868
-31.945,18,345.49393
-32.53,18,345.686576
-73.415,41,346.247022
0.315,5,346.296345
-47.705,37,346.709867
-98.28,52,347.324207
0.88,3,347.366201
0.88,3,347.408566
-70.3,53,348.008382
-61.27,38,348.433819
-57.68,42,348.960549
-65.1,38,349.379971
-78.23,41,349.93354
0.6,5,350.007203
-71.065,31,350.451723
-27.13,17,350.798005
-181.61,98,352.030463
-112.855,50,352.669822
-45.35,23,352.953457
-74.905,32,353.363036
-87.08,33,353.763865
-59.91,39,354.31342
-102.54,50,354.913479
-25.845,32,355.328592
-56.59,47,355.922055
-89.62,44,356.539481
-29.025,26,356.86065
-410.35,150,359.030479
-556.075,150,361.172858
-56.7,51,361.901143
0.88,3,361.946573
-62.565,36,362.429585
-18.38,17,362.635036
-345.95,150,364.556993
-20.715,27,364.867624
-34.435,18,365.121374
-138.855,66,365.871756
-36.42,19,366.107325
-28.71,22,366.375639
-130.38,46,366.881114
-115.99,47,367.420061
-60.455,27,367.767406
-77.075,36,368.178242
-53.6,34,368.546409
-17.975,12,368.686906
-91.395,50,369.287682
-151.145,60,369.969399
-351.07,96,371.253715
-65.88,38,371.841361
-27.2,19,372.23968
-74.815,36,372.791939
-50.32,42,373.292753
-220.69,80,374.70126
-59.515,41,375.423674
-55.67,29,375.911688
-133.675,47,376.552916
-32.51,29,376.946338
-114.68,58,377.750382
-57.205,30,378.149751
-36.29,21,378.394646
-52.345,39,378.931566
-105.2,48,379.674801
