method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
DQN_Safe,0,0,2.764000000000001,150,0,0,2,0.021333333333333333,0.015666666666666666,5.95
DQN_Safe,0,1,-1.8030000000000095,150,0,0,2,0.2523333333333333,0.019,8.559999999999999
DQN_Safe,0,2,-15.923999999999998,150,0,0,3,0.26200000000000007,0.13599999999999998,11.440000000000001
DQN_Safe,0,3,5.0409999999999995,136,0,1,2,0.05551470588235294,0.011397058823529413,5.42
DQN_Safe,0,4,2.224999999999997,150,0,0,2,0.0825,0.015333333333333336,5.630000000000001
DQN_Safe,0,5,-4.233999999999995,102,0,1,2,0.22598039215686277,0.08774509803921568,7.73
DQN_Safe,0,6,1.7610000000000006,42,0,1,2,0.2273809523809524,0.03333333333333333,2.6099999999999994
DQN_Safe,0,7,1.6330000000000005,8,0,1,2,0.20625000000000002,0.15625,0.8
DQN_Safe,0,8,-6.75599999999999,150,0,0,4,0.7729999999999999,0.009666666666666667,5.970000000000001
DQN_Safe,0,9,1.3149999999999977,150,0,0,2,0.08166666666666668,0.018333333333333333,6.42
DQN_Safe,0,10,2.1129999999999995,7,0,1,1,0.05714285714285715,0.09999999999999999,0.71
DQN_Safe,0,11,1.9419999999999997,8,0,1,1,0.0125,0.13125,0.8500000000000001
DQN_Safe,0,12,-0.27399999999999797,150,0,0,3,0.29783333333333334,0.015,5.25
DQN_Safe,0,13,1.9560000000000026,150,0,0,3,0.12533333333333332,0.007333333333333334,5.839999999999999
DQN_Safe,0,14,-1.7999999999999932,150,0,0,3,0.21916666666666668,0.023333333333333334,8.51
DQN_Safe,0,15,0.9909999999999997,40,0,1,3,0.55125,0.027500000000000004,2.23
DQN_Safe,0,16,-52.25800000000002,150,0,0,3,0.4923333333333333,0.3893333333333333,24.889999999999993
DQN_Safe,0,17,-2.4759999999999867,150,0,0,2,0.08966666666666666,0.049666666666666665,7.6499999999999995
DQN_Safe,0,18,-50.381,96,1,0,4,0.4213541666666667,0.1942708333333333,10.419999999999998
DQN_Safe,0,19,-3.3950000000000102,150,0,0,2,0.23583333333333334,0.027999999999999994,10.25
DQN_Safe,0,20,-55.83900000000002,150,0,0,4,0.6328333333333331,0.39866666666666667,24.969999999999995
DQN_Safe,0,21,-1.404999999999987,150,0,0,2,0.058333333333333334,0.041,7.66
DQN_Safe,0,22,-45.47899999999998,150,0,0,3,0.24366666666666664,0.36300000000000004,23.319999999999993
DQN_Safe,0,23,-2.179999999999996,46,0,1,3,0.2527173913043478,0.1326086956521739,3.9799999999999995
DQN_Safe,0,24,-55.99600000000006,150,0,0,4,0.5980000000000001,0.3973333333333333,26.119999999999994
DQN_Safe,0,25,-56.19000000000012,150,0,0,4,0.6733333333333336,0.39666666666666667,26.379999999999995
