#{"t_start": 1775051910.31009, "env_id": "None"}
r,l,t
-21.975,19,0.032035
-12.955,10,0.042035
-33.495,26,0.065533
-125.11,150,0.182577
-20.365,14,0.194576
-16.165,9,0.201576
-38.35,48,0.234728
-13.395,16,0.247185
-109.195,150,0.340594
-32.115,28,0.359594
-8.76,5,0.363871
-25.94,33,0.38687
-16.475,16,0.397871
-19.315,11,0.40587
-17.52,16,0.416871
-56.795,52,0.45332
-27.96,28,0.472317
-19.205,13,0.481316
-24.755,13,0.490713
-22.925,12,0.499712
-37.205,25,0.516963
-31.185,27,0.534964
-13.185,11,0.542963
-17.8,18,0.555963
-38.8,23,0.571964
-14.155,12,0.580297
-125.115,150,0.673163
-32.085,23,0.689657
-38.075,24,0.706657
-38.47,30,0.728666
-27.705,19,0.887546
-14.65,9,0.894545
-20.15,12,0.902735
-57.665,32,0.925733
-11.325,8,0.932733
-17.35,9,0.938733
-12.9,13,0.949735
-23.065,20,0.963735
-32.595,19,0.978758
-11.17,8,0.984757
-49.555,33,1.009882
-21.15,10,1.017882
-15.585,12,1.025882
-26.965,20,1.041879
-24.73,20,1.056879
-31.59,26,1.077878
-15.795,15,1.088879
-18.375,10,1.095879
-14.165,10,1.102879
-20.34,15,1.112878
-58.81,48,1.145879
-15.405,11,1.152879
-14.175,9,1.159878
-115.8,150,1.256487
-22.01,24,1.273487
-19.73,15,1.284487
-15.96,11,1.292487
-38.405,19,1.305487
-16.42,17,1.317487
-14.31,13,1.326487
-7.59,4,1.329487
-11.96,9,1.336487
-73.955,150,1.431745
-35.89,32,1.45462
-22.155,17,1.466621
-41.83,48,1.499439
-47.725,150,1.769548
-32.235,20,1.785548
-17.435,13,1.797549
-24.805,14,1.811549
-52.49,29,1.835549
-63.675,150,1.952126
-48.89,150,2.061415
-38.265,43,2.091606
-24.53,17,2.104198
-24.805,17,2.120059
-35.1,20,2.134059
-18.145,10,2.141186
-33.705,22,2.156198
-32.615,35,2.18184
-24.04,18,2.196335
-29.55,19,2.209335
-72.86,150,2.303209
-57.64,150,2.397275
-14.175,16,2.4093
-14.265,14,2.419308
-33.275,31,2.440308
-127.055,150,2.693841
-16.575,12,2.70686
-28.015,25,2.728861
-34.515,21,2.746986
-17.965,10,2.756785
-26.8,25,2.784654
-19.23,15,2.798937
-20.585,14,2.811937
-26.475,20,2.827536
-17.035,16,2.841432
-20.045,11,2.849431
-19.02,10,2.857431
-22.295,21,2.87076
-24.31,17,2.883817
-72.59,36,2.909012
-111.595,57,2.945291
-24.695,14,2.955291
-10.19,8,2.960291
-9.555,7,2.965291
-37.695,20,2.979291
-19.895,22,2.994291
-17.425,17,3.006385
-34.035,56,3.044745
-12.625,9,3.050745
-14.605,11,3.058819
-19.615,13,3.067819
-30.92,26,3.085828
-28.455,17,3.097828
-26.4,17,3.109828
-26.995,19,3.122046
-11.595,34,3.145046
-22.88,30,3.165349
-11.135,9,3.171348
-166.15,150,3.26237
-32.47,20,3.277511
-120.59,150,3.52133
-35.15,36,3.54833
-48.3,42,3.57733
-16.695,16,3.58933
-20.205,10,3.598794
-35.47,21,3.61482
-33.77,37,3.641821
-89.895,150,3.749007
-39.87,36,3.77425
-18.52,13,3.78325
-51.94,48,3.81625
-19.045,13,3.82525
-24.585,10,3.83225
-17.5,15,3.843254
-44.775,28,3.862352
-13.485,8,3.867352
-115.445,67,3.911885
-20.965,15,3.922886
-16.395,15,3.932886
-32.645,31,3.955882
-8.58,9,3.96388
-25.91,22,3.981519
-44.82,150,4.076385
-15.315,13,4.085995
-31.79,19,4.100446
-14.67,24,4.116806
-19.225,18,4.129557
-160.01,150,4.36637
-11.985,15,4.377007
-23.69,31,4.401607
-26.78,14,4.412122
-16.805,9,4.41815
-12.095,12,4.427619
-81.165,150,4.526743
-14.865,10,4.534744
-17.61,15,4.545743
-25.65,20,4.560743
-16.84,11,4.568749
-31.525,37,4.594744
-12.295,9,4.600794
-12.025,16,4.612794
-24.18,21,4.626794
-32.245,22,4.642794
-49.15,53,4.680652
-19.125,13,4.689652
-13.845,11,4.69766
-10.125,7,4.70266
-25.165,19,4.715693
-11.18,13,4.724999
-16.74,15,4.734999
-25.72,16,4.745999
-69.325,53,4.783016
-17.815,15,4.793306
-21.575,20,4.807306
-11.2,8,4.813307
-8.205,5,4.817306
-47.555,32,4.838307
-20.91,10,4.846307
-11.075,8,4.852514
-25.035,14,4.862167
-44.085,28,4.881454
-13.75,11,4.889447
-51.76,24,4.905853
-13.35,11,4.913865
-53.32,49,4.947312
-14.825,13,4.956312
-34.7,26,4.974312
-14.27,11,4.981312
