#{"t_start": 1775686747.7405581, "env_id": "None"}
r,l,t
-0.896,49,25.668511
2.533,7,25.673517
1.16,40,25.70373
-14.015,150,25.809787
-8.886,150,25.916943
-1.953,112,25.997999
-16.897,150,26.102715
2.345,6,26.106715
-28.23,150,26.212586
-0.399,71,26.265191
-23.137,150,26.36767
0.303,53,26.40641
-9.883,150,26.511989
-16.689,150,26.614279
-0.579,41,26.644503
-7.907,150,26.752666
-11.751,150,27.140977
2.65,6,27.148898
-0.839,83,27.223229
-0.564,88,27.294241
1.995,43,27.328396
0.132,50,27.362407
-21.196,150,27.467086
-12.425,150,27.581045
-13.021,150,27.687706
-10.777,150,27.79116
0.743,58,27.834562
-34.327,150,27.937844
-9.868,150,28.041414
-1.706,56,28.082437
-12.652,150,28.189313
0.637,96,28.259444
2.474,6,28.26445
-13.528,150,28.371382
-4.432,80,28.428703
-15.946,150,28.53234
-16.85,150,28.897678
-10.754,150,29.010172
0.815,37,29.037308
-34.038,47,29.071317
-8.047,150,29.180084
-18.125,150,29.286117
1.514,76,29.341589
2.811,6,29.346589
-26.289,30,29.368621
2.169,6,29.373629
-15.147,150,29.480101
1.049,120,29.568924
-14.126,150,29.687837
-4.445,150,29.798418
-41.126,49,29.833967
-5.275,150,29.940181
0.806,35,29.965471
2.673,4,29.968471
-9.685,150,30.077008
-18.833,150,30.185531
-0.582,73,30.239283
-14.044,150,30.341055
0.593,60,30.645721
1.528,27,30.67048
2.582,4,30.67448
-11.727,150,30.785882
0.181,78,30.846246
-0.558,100,30.918571
0.418,110,30.997999
1.413,39,31.027997
-6.334,50,31.063997
0.96,62,31.109571
-0.738,103,31.184442
-22.512,150,31.290525
1.87,48,31.326799
1.872,35,31.352799
2.673,4,31.355799
-7.004,150,31.465654
-10.149,150,31.570811
-14.729,150,31.67521
0.818,39,31.703219
-13.54,63,31.748918
-8.689,150,31.855822
-10.044,150,31.962761
-7.314,150,32.068459
0.456,76,32.439307
2.665,3,32.441307
0.429,75,32.500449
-7.63,150,32.607942
-17.228,150,32.714386
2.132,8,32.720386
1.135,30,32.742249
0.853,48,32.776834
-19.455,150,32.881083
-11.923,150,32.991328
-16.053,150,33.098117
0.489,73,33.15212
0.292,69,33.20212
-8.119,150,33.305749
-32.798,26,33.324749
-15.29,150,33.433248
-8.295,150,33.539423
-5.397,150,33.645665
-12.513,150,33.751224
-0.128,62,33.796317
1.301,57,33.838565
-3.241,150,34.227696
-0.269,76,34.286696
-19.681,150,34.388213
-9.081,150,34.496141
-1.774,92,34.597669
-6.326,150,34.705159
2.766,5,34.709157
-0.348,105,34.790626
-7.331,150,34.904316
0.319,43,34.935138
1.428,29,34.956051
-17.325,150,36.190955
-15.897,150,36.293619
0.364,70,36.345569
0.825,43,36.377295
-9.915,150,36.482518
-12.496,150,36.58898
-16.126,150,36.694307
-10.506,150,36.799542
-20.046,150,37.183773
2.047,7,37.188777
-11.043,150,37.300134
0.503,87,37.363536
-7.662,150,37.469139
-0.048,60,37.512823
-12.587,150,37.617147
2.569,6,37.622147
1.608,52,37.66241
0.941,42,37.701607
-6.8,150,37.815688
-4.258,150,37.934838
-6.353,150,38.046357
1.977,31,38.069473
-26.516,37,38.096502
0.059,53,38.135508
1.668,25,38.154517
-13.225,150,38.261353
-1.305,77,38.317057
-9.686,150,38.425322
-1.815,108,38.503153
-12.163,150,38.896509
2.78,3,38.899509
2.274,6,38.903509
0.07,79,38.971866
-21.629,150,39.087747
-1.559,111,39.168581
-6.156,150,39.27529
-11.375,150,39.384084
0.953,45,39.418971
0.725,62,39.464561
-8.276,150,39.571445
0.621,67,39.621643
-5.24,150,39.728334
0.158,50,39.764835
1.414,39,39.79407
1.531,38,39.821565
0.676,55,39.862527
-8.242,150,39.970232
-6.275,150,40.086773
-18.511,150,40.190949
1.645,46,40.227672
-9.688,150,40.336975
1.78,43,40.368706
-10.001,150,40.776428
1.192,59,40.831384
-1.23,99,40.903699
-34.835,21,40.918699
-6.13,150,41.028498
0.943,97,41.099731
-10.336,150,41.20505
-9.628,150,41.313533
0.792,49,41.350088
-15.885,150,41.457299
-5.698,75,41.514375
2.047,39,41.542532
-17.095,150,41.649213
2.603,4,41.653213
1.959,24,41.670539
-0.484,63,41.716547
0.736,52,41.75555
2.643,8,41.761949
0.222,45,41.79421
1.248,40,41.823316
-20.836,150,41.927479
-0.295,29,41.948707
-8.732,150,42.057423
-22.7,150,42.162921
0.922,42,42.475595
2.344,8,42.481984
-24.255,150,42.595639
-18.24,150,42.708862
1.087,44,42.741125
-0.576,83,42.802233
-8.58,150,42.909084
1.535,25,42.927083
-9.517,150,43.033452
-17.383,150,43.136798
2.661,5,43.140798
1.581,30,43.163997
2.373,4,43.166996
1.365,37,43.194465
-14.551,150,43.301538
1.244,56,43.342801
1.216,82,43.403191
-0.16,48,43.437639
2.382,7,43.442839
1.595,29,43.463165
2.029,47,43.498303
2.584,5,43.502309
0.951,82,43.56317
-0.69,129,43.656118
2.089,48,43.691575
-0.429,72,43.744574
0.768,36,43.771042
2.134,26,43.790042
-13.778,150,43.895042
-1.559,109,44.268759
0.717,79,44.338682
-0.316,45,44.376218
-1.063,83,44.447164
1.679,39,44.478321
1.853,30,44.502569
1.061,38,44.531767
1.008,43,44.569355
1.002,26,44.589538
-7.929,150,44.700484
1.211,43,44.732493
-17.652,150,44.8399
1.111,66,44.8879
2.522,21,44.903906
-0.499,89,44.971371
0.952,47,45.006658
1.429,48,45.043283
1.947,27,45.063542
-6.807,150,45.187511
-7.09,31,45.212922
1.643,60,45.268621
-18.259,150,45.377321
2.685,3,45.380322
-11.262,150,45.489094
0.674,37,45.517094
1.89,32,45.540095
0.107,54,45.580079
1.45,34,45.605979
0.817,55,45.646566
1.714,35,45.67267
1.956,35,45.69767
0.556,25,45.717016
1.093,27,45.737068
1.111,56,45.779808
-1.498,66,46.099944
-7.92,150,46.208601
1.569,21,46.225924
0.711,44,46.262649
-6.474,150,46.375382
0.348,78,46.432937
2.74,3,46.434937
-33.132,33,46.458936
2.536,6,46.464447
-7.9,150,46.573209
-13.479,150,46.678645
1.502,47,46.713437
1.963,37,46.740523
-9.659,150,46.847004
0.985,57,46.888483
-10.309,150,46.995426
-11.977,150,47.104106
-2.401,150,47.213676
-8.294,150,47.320256
-9.531,150,47.428771
2.064,34,47.453114
-38.092,150,47.560988
-7.721,150,47.944078
1.173,31,47.970322
-10.158,150,48.07686
-1.07,93,48.142869
1.318,29,48.165292
2.548,30,48.187442
-10.456,150,48.294071
-7.074,150,48.404072
2.123,38,48.431787
1.268,52,48.470787
1.462,44,48.502382
2.609,6,48.507841
1.59,44,48.539841
1.016,71,48.59185
2.663,4,48.59485
1.818,35,48.620772
1.562,35,48.646239
-9.419,150,48.75141
0.318,33,48.776147
-2.295,150,48.887752
-13.555,150,48.994616
2.703,7,49.000616
2.653,8,49.006619
1.902,35,49.032616
0.384,80,49.091733
2.053,34,49.117108
-15.711,150,49.223849
0.742,51,49.261269
-7.447,74,49.317133
2.167,39,49.628658
1.302,43,49.665556
-10.546,150,49.783537
2.019,49,49.826833
-9.08,51,49.863425
1.658,29,49.885068
1.121,57,49.926729
-8.784,150,50.0335
2.283,33,50.0575
2.335,8,50.063705
2.251,5,50.067706
-15.77,150,50.171119
-5.817,150,50.27924
-10.979,150,50.391403
0.029,67,50.441133
2.143,33,50.465133
2.215,50,50.502153
-28.423,150,50.60715
1.173,43,50.638764
-0.212,79,50.696215
2.281,39,50.725714
2.646,5,50.729726
2.619,6,50.733725
0.919,71,50.786461
2.448,33,50.810102
2.151,28,50.831408
2.533,8,50.837626
1.463,50,50.874276
2.53,8,50.880466
1.375,36,50.908235
-10.674,150,51.015679
-17.454,150,51.120844
2.012,29,51.435124
-9.706,150,51.560869
-9.891,150,51.666567
1.581,39,51.695807
1.996,32,51.718807
-0.217,83,51.778411
2.663,4,51.781411
2.697,7,51.786411
2.145,36,51.813356
0.581,37,51.840763
1.354,37,51.867763
1.767,34,51.893398
1.671,55,51.933815
-9.601,150,52.041003
-0.335,79,52.098422
0.821,42,52.128421
-7.465,150,52.236637
1.676,34,52.261654
2.898,8,52.269666
0.886,37,52.295667
2.326,8,52.302522
1.625,46,52.337003
1.855,24,52.355003
1.388,40,52.385877
-13.839,150,52.493689
-6.83,150,52.60312
0.961,48,52.637691
1.123,26,52.658129
2.154,56,52.699129
-8.248,150,52.808628
-1.16,92,52.877462
1.273,35,52.902477
-10.843,150,53.322365
1.415,58,53.368802
1.078,95,53.440304
1.836,16,53.453299
2.502,4,53.456435
2.073,31,53.478617
0.81,44,53.510705
0.715,38,53.538991
2.491,35,53.565243
2.021,37,53.593574
2.485,8,53.610113
1.942,56,53.651291
2.675,3,53.653291
-6.915,150,54.188503
1.38,42,54.219455
-11.851,150,54.322899
1.916,34,54.348904
2.238,22,54.365382
1.403,33,54.389382
1.579,48,54.434382
1.599,39,54.463382
2.08,54,54.502382
1.509,32,54.530099
0.474,37,54.558815
0.945,106,54.634994
-6.84,150,54.742382
-8.651,150,54.847382
-6.037,150,54.954818
1.643,42,54.985826
1.498,37,55.013826
-10.576,150,55.120826
1.47,53,55.160097
2.184,30,55.18308
-3.268,150,55.606068
-13.009,150,55.714069
2.755,3,55.717076
-7.005,150,55.826276
-6.997,150,55.932963
-35.73,88,55.999017
-5.628,150,56.110584
-13.011,150,56.215946
2.126,34,56.241946
-4.332,150,56.350174
2.317,24,56.368404
-16.037,150,56.474062
2.342,34,56.499258
2.611,6,56.504258
1.497,56,56.54577
1.61,52,56.583982
-29.579,38,56.611982
-0.395,38,56.638991
-10.181,150,56.747468
2.185,27,56.768074
1.509,32,56.792074
1.576,57,56.834076
1.522,33,56.859074
2.517,33,56.883074
0.949,37,56.911298
0.034,30,56.932848
1.327,49,56.969848
-10.208,150,57.352184
2.174,50,57.39534
2.36,26,57.418859
-16.53,150,57.526856
1.327,35,57.552856
2.367,7,57.557857
1.301,46,57.591856
2.67,3,57.594859
-9.095,150,57.701906
2.381,41,57.731906
-0.304,70,57.783199
2.032,32,57.806197
2.556,5,57.810197
-0.525,92,57.875165
2.384,7,57.880165
-6.799,150,57.99069
0.635,48,58.026689
1.427,44,58.060101
1.968,25,58.078101
-0.125,62,58.122317
-0.084,60,58.16532
2.02,30,58.18798
2.597,31,58.210983
-14.325,150,58.318976
1.248,61,58.364976
-9.309,150,58.472643
-11.021,150,58.580018
1.225,74,58.635069
-1.807,150,58.742076
1.937,32,59.047658
1.526,49,59.085687
2.337,20,59.100687
1.594,91,59.173182
1.033,60,59.220925
2.309,20,59.240122
-10.004,150,59.347122
2.278,31,59.37114
1.958,57,59.412148
-8.577,150,59.518147
2.564,6,59.523149
1.633,36,59.550147
-13.305,150,59.654709
-6.724,150,59.763824
1.177,40,59.793824
-7.462,150,59.900617
2.648,4,59.904617
2.67,3,59.906618
2.367,32,59.930903
1.433,27,59.949993
1.649,44,59.983311
1.091,57,60.02331
1.987,44,60.05531
2.646,5,60.05931
1.603,28,60.079738
2.635,6,60.083738
0.718,49,60.119908
-12.167,150,60.228227
2.466,28,60.248229
2.533,8,60.254227
-40.051,20,60.269228
1.52,40,60.297434
2.573,4,60.300434
1.62,48,60.335757
1.401,57,60.377757
0.249,44,60.409732
1.349,34,60.436029
2.753,4,60.439031
-1.162,150,60.550599
2.67,3,60.860675
1.504,68,60.938811
1.668,56,60.992478
1.764,31,61.017966
-4.897,150,61.132374
1.417,58,61.174539
2.279,36,61.20178
1.619,54,61.242101
2.577,8,61.248101
-8.622,150,61.356277
0.285,47,61.391574
-4.916,150,61.500914
-18.913,150,61.608783
-6.289,150,61.71705
1.496,44,61.749003
-6.677,150,61.860864
1.299,50,61.897214
2.552,7,61.902624
0.638,75,61.95777
2.067,77,62.014168
1.808,44,62.047168
-9.266,150,62.154617
-5.907,150,62.265886
1.612,42,62.296467
1.223,69,62.348581
1.148,55,62.389559
-8.359,150,62.790221
1.083,89,62.86322
1.696,30,62.886222
1.373,42,62.916893
1.248,84,62.978407
1.517,40,63.008415
-11.008,150,63.114942
1.743,35,63.141834
-24.715,30,63.164159
2.293,43,63.195159
2.694,7,63.200159
-8.96,150,63.311841
2.197,8,63.317863
0.187,62,63.364839
0.56,64,63.411609
1.483,91,63.4788
-3.422,39,63.507378
1.824,28,63.528418
2.214,7,63.5337
2.599,8,63.538791
2.753,4,63.541791
1.797,33,63.567431
1.7,33,63.5919
1.312,31,63.614649
-15.763,150,63.722969
0.165,97,63.794314
2.152,36,63.820315
0.628,50,63.85752
1.7,41,63.888128
1.926,49,63.923069
-7.718,150,64.032777
2.49,33,64.057084
2.023,47,64.091249
-7.411,150,64.198799
2.482,30,64.499868
-0.198,66,64.555723
-9.032,150,64.676607
2.047,38,64.704611
-5.203,150,64.816244
2.767,50,64.858896
1.057,68,64.908747
-14.015,150,65.021798
-8.939,150,65.129356
-13.888,150,65.235817
2.028,36,65.264204
1.439,46,65.298523
2.246,29,65.31971
-10.621,150,65.428433
2.323,39,65.457169
1.101,53,65.496522
0.912,47,65.530833
-0.053,87,65.595003
-1.233,150,65.707658
1.78,21,65.72402
0.923,58,65.768532
-9.953,150,65.88202
-0.098,62,65.926419
0.953,71,65.978701
-9.776,150,66.397267
2.137,86,66.466729
2.755,3,66.469743
1.977,26,66.489024
1.355,60,66.532165
1.512,51,66.569877
2.162,66,66.618141
1.335,80,66.676954
1.932,22,66.692962
2.404,7,66.697963
-0.034,150,66.8074
1.383,46,66.841434
2.114,50,66.878627
2.738,4,66.881627
-5.639,150,66.98904
-5.204,150,67.097692
1.632,34,67.122693
0.232,45,67.155884
2.65,3,67.157883
-5.107,150,67.264976
0.23,37,67.292354
1.36,50,67.329873
1.781,29,67.350873
-8.997,150,67.459161
2.58,36,67.486304
-6.374,150,67.594517
2.738,4,67.597517
1.782,60,67.642646
2.17,39,67.671103
0.966,41,67.70091
-2.649,150,67.810144
1.209,41,68.123092
-14.657,150,68.236727
-5.651,71,68.301663
2.788,5,68.305663
1.345,75,68.361986
2.357,62,68.408986
1.257,43,68.441234
-11.4,150,68.552819
1.718,56,68.59521
-1.648,150,68.703921
2.135,20,68.718921
1.729,42,68.750922
-1.816,58,68.793921
2.429,34,68.818922
1.465,61,68.865921
-15.088,150,68.972034
2.308,80,69.031362
-7.289,150,69.139643
2.755,3,69.142644
1.051,48,69.17868
2.765,3,69.18068
0.689,67,69.22968
2.583,5,69.23368
1.781,30,69.25668
1.306,48,69.291934
1.942,45,69.324934
2.341,69,69.375634
2.644,6,69.380634
2.753,4,69.383634
2.286,33,69.407658
-5.247,150,69.51617
-7.556,150,69.624511
1.976,42,69.92213
1.51,30,69.946027
-13.137,150,70.061874
2.74,52,70.101132
1.173,42,70.132268
1.307,42,70.163268
2.232,27,70.184268
1.976,53,70.223452
2.223,24,70.241472
1.352,58,70.284611
1.674,33,70.30961
1.941,29,70.33161
1.841,46,70.36661
0.546,114,70.451106
1.839,33,70.476106
2.263,37,70.504106
2.938,50,70.542103
1.681,62,70.589103
2.366,5,70.593102
0.206,90,70.659103
2.219,73,70.714103
-4.413,150,70.823636
2.607,28,70.843632
-16.819,150,70.954763
1.563,30,70.981569
2.03,30,71.009873
1.893,48,71.04784
-39.764,65,71.100527
1.833,38,71.129524
2.648,4,71.132525
2.755,3,71.134525
2.066,35,71.163525
2.552,80,71.224963
1.053,42,71.254759
-11.987,150,71.361785
2.321,34,71.387738
-27.617,17,71.403806
1.807,48,71.444772
2.063,35,71.815671
2.774,6,71.82097
-3.651,150,72.836356
-0.044,53,72.874871
2.976,37,72.902796
-1.964,150,73.011359
2.761,5,73.015358
1.778,33,73.039928
0.825,48,73.074193
1.866,31,73.097499
2.738,4,73.100499
-16.746,150,73.20749
2.639,29,73.228845
1.684,53,73.269347
2.616,25,73.287616
2.511,7,73.292616
0.731,44,73.323781
2.304,24,73.341045
1.461,72,73.394346
-50.454,54,73.434487
0.171,44,73.466604
2.198,49,73.503347
-0.756,60,73.547285
1.712,48,73.583345
2.747,7,73.588352
1.489,28,73.6086
1.771,32,73.658948
2.74,3,73.660948
1.987,50,73.697948
1.355,67,73.747947
-10.818,57,73.790956
2.17,8,73.796955
-12.064,150,73.905229
-3.897,150,74.014237
2.104,35,74.047832
2.755,3,74.050832
2.349,6,74.054832
2.367,71,74.107099
1.652,41,74.138371
1.198,25,74.156371
1.593,29,74.177503
-11.738,150,74.555253
-2.733,38,74.584037
2.794,8,74.590034
2.288,32,74.614794
2.761,5,74.618793
2.162,25,74.637794
-10.864,150,74.746582
1.7,29,74.767582
2.101,22,74.783582
-4.993,150,74.889944
2.555,49,74.926084
-6.402,150,75.035674
1.561,48,75.070987
-4.36,150,75.179509
1.913,30,75.201653
1.678,99,75.275415
-25.689,13,75.284698
2.632,5,75.288197
2.644,30,75.310756
2.062,48,75.346075
2.626,6,75.350168
0.921,55,75.390649
1.825,53,75.429952
-8.639,150,75.537536
1.367,26,75.556796
2.105,46,75.591012
-10.95,150,75.699787
2.381,29,75.721134
1.891,37,75.748731
-7.974,150,75.857444
2.152,33,75.881444
3.186,121,75.971599
1.469,95,76.367672
2.689,5,76.371672
-8.947,150,76.496414
-9.862,150,76.604125
-1.77,33,76.628604
-12.959,150,76.737696
2.635,34,76.762992
1.551,25,76.781992
0.743,75,76.835273
