#{"t_start": 1775690375.6529772, "env_id": "None"}
r,l,t
-7.925,75,0.079403
-13.297,150,0.210389
-21.569,150,0.327205
-19.861,150,0.456411
-112.644,150,0.566883
-30.648,150,0.691348
2.037,4,0.695349
-30.455,150,0.819713
-21.293,150,0.943507
-15.869,150,1.048444
-20.131,150,1.176533
2.345,3,1.179532
-27.046,150,1.292509
-26.755,150,1.40649
-23.093,150,1.513583
-33.771,31,1.53695
-57.998,93,1.613328
-34.061,150,1.7207
-31.325,33,1.750111
-9.898,150,1.853377
-37.758,150,1.958376
-15.839,150,2.060243
-2.229,44,2.092518
-22.72,150,2.21067
-23.343,150,2.320688
-23.769,150,2.439784
-22.395,150,2.54442
-33.426,150,2.662691
-14.623,150,2.764691
-31.142,150,2.870845
-22.906,150,2.981364
-12.372,150,3.099264
-1.879,34,3.129069
-15.208,150,3.256443
-22.806,150,3.361747
-30.182,150,3.464797
-42.929,59,3.510164
-16.338,150,3.618693
-19.264,150,3.725883
-25.854,150,3.830814
-10.909,150,3.932599
-30.847,150,4.041649
-17.769,150,4.149547
-4.138,62,4.196404
-3.659,63,4.242563
-27.069,150,4.357661
-15.036,150,4.48145
-32.971,150,4.597798
-2.405,40,4.624797
-49.375,36,4.649798
2.524,6,4.654799
-36.741,150,4.762238
-125.291,150,4.879497
-23.863,150,4.981632
-15.59,150,5.093892
-25.833,13,5.104317
-40.057,150,5.220961
-22.991,150,5.327423
-23.81,150,5.437805
-13.485,150,5.546287
1.418,8,5.554287
-8.256,116,5.635699
-15.029,150,5.753519
-27.352,150,5.857884
-24.13,150,5.967878
1.937,8,5.975879
-17.137,150,6.101631
-26.486,150,6.209439
-32.249,41,6.2429
-24.78,28,6.265901
-20.437,68,6.324826
-44.387,150,6.42991
-15.242,150,6.538684
-27.598,150,6.657393
-23.552,150,6.771389
-45.539,56,6.809389
-13.077,150,6.908092
-16.208,150,7.015095
-37.902,150,7.123581
-59.832,72,7.177597
-1.956,30,7.198597
-31.51,150,7.300389
-16.163,150,7.413169
-29.194,150,7.525902
2.373,4,7.529902
-25.375,150,7.640832
-19.8,150,7.756737
-21.385,150,7.884559
-38.814,150,8.00641
-33.335,150,8.137921
-30.684,11,8.145921
-10.707,136,8.258521
-19.128,150,8.36902
-0.978,46,8.416341
-2.916,42,8.4596
-18.852,150,8.599121
-22.423,150,8.718675
-0.98,47,8.759675
2.212,7,8.765676
-18.915,150,8.876368
-2.613,38,8.907739
0.109,33,8.931739
-17.996,150,9.042131
-15.634,150,9.166084
-12.84,150,9.297902
-15.603,150,9.420023
-14.2,150,9.522571
-1.779,52,9.560282
-20.471,150,9.668211
-17.527,150,9.783698
-13.662,150,9.907651
-0.519,51,9.943651
-34.251,150,10.053858
-25.488,150,10.15861
-4.633,62,10.203009
-32.948,150,10.314363
-2.985,55,10.362378
-25.88,150,10.473953
-40.122,150,10.575921
-27.487,150,10.684587
-12.717,150,10.79126
-1.926,49,10.835589
-26.06,150,10.933405
-12.173,150,11.041488
-137.923,150,11.153181
-18.637,150,11.263754
-17.138,150,11.376812
-32.342,23,11.392812
-21.806,150,11.501066
-22.068,150,11.607691
-38.153,150,11.708219
-12.914,150,11.820462
-36.864,41,11.848773
-0.275,60,11.896771
-19.731,150,12.005624
-17.557,150,12.108537
-34.416,150,12.222386
-13.444,150,12.327641
-30.954,18,12.341545
-20.87,150,12.449803
-2.826,70,12.511826
-22.029,150,12.621977
-24.956,150,12.725679
-26.718,150,12.835678
-19.526,150,12.943872
2.244,5,12.947872
-22.028,150,13.061697
-18.36,150,13.172857
-29.768,150,13.280541
-17.776,150,13.385145
-21.735,150,13.494551
-23.655,150,13.605481
-2.125,65,13.65974
-21.638,150,13.774962
-30.971,150,13.884741
-16.125,150,13.990026
-18.608,150,14.094253
-14.998,150,14.203639
-24.143,12,14.213084
-13.006,150,14.325187
-27.692,150,14.434691
-23.232,150,14.547874
-2.126,59,14.589051
-16.059,150,14.694329
-26.64,150,14.798849
-23.983,150,14.913019
-21.675,150,15.402502
-20.301,150,15.509683
-14.002,150,15.619948
-19.667,150,15.71737
-10.334,150,15.835239
-39.074,150,15.938238
-18.951,150,16.041239
-17.699,150,16.15965
-15.003,150,16.263841
0.484,40,16.302839
0.257,35,16.332796
-13.322,150,16.456442
-0.433,36,16.484439
-18.744,150,16.617879
-31.322,24,16.649495
-28.7,150,16.774733
-30.287,19,16.789732
-64.777,67,16.841978
2.431,6,16.848496
-29.024,150,16.963991
-18.08,150,17.092475
2.406,4,17.098474
-13.711,150,17.225209
-13.292,150,17.333222
-19.461,150,17.458197
-36.405,26,17.484588
-0.175,40,17.517853
-15.81,150,17.627858
-20.208,150,17.740488
2.215,8,17.747486
-28.948,34,17.776027
-15.641,150,17.87918
-14.989,150,17.986306
-12.912,150,18.097676
-10.599,150,18.215133
-27.674,44,18.255136
-0.236,80,18.317357
-27.461,40,18.352396
-0.021,49,18.390633
-38.811,24,18.408787
-20.421,150,18.533303
-9.882,150,18.642422
2.803,4,18.645422
-1.263,41,18.680567
-16.943,150,18.792348
2.78,3,18.795348
1.806,8,18.802213
-12.317,150,18.914226
-19.635,150,19.014875
-7.172,142,19.128116
-13.431,150,19.237374
-1.206,56,19.279466
-20.425,150,19.405371
-11.108,150,19.532341
-20.751,150,19.656967
-36.895,28,19.677967
-1.324,47,19.712086
1.36,28,19.735085
-22.451,150,19.886233
-12.861,150,20.024924
-18.557,150,20.152261
-94.83,150,20.257264
-18.323,150,20.377287
-25.116,150,20.494862
-24.881,150,20.628848
-22.658,150,20.738997
-9.747,150,20.863172
-17.546,150,20.970917
-11.917,150,21.073965
-46.288,35,21.107964
-22.674,150,21.217799
-22.33,150,21.323799
-33.99,150,21.432803
-17.121,63,21.485047
-9.68,150,21.595037
-10.675,150,21.715429
-3.05,60,21.777907
-18.624,150,21.91912
-39.86,150,22.041195
-12.257,150,22.165246
2.67,3,22.168247
-9.078,150,22.281744
-29.72,27,22.308261
-13.053,150,22.449768
-10.201,150,22.565771
-16.954,150,22.672155
-34.39,64,22.721345
-10.221,150,22.841349
-18.348,150,22.943349
-29.248,150,23.050756
-22.966,150,23.162902
-3.867,114,23.246718
-25.266,150,23.367506
-27.101,150,23.480688
-16.296,150,23.59187
-13.503,150,23.71025
-6.979,150,23.835763
-13.733,150,23.95706
-15.249,150,24.071572
-20.727,150,24.180267
-3.216,57,24.231236
-21.187,150,24.345968
-17.181,150,24.469974
-15.27,150,24.589182
-10.119,150,24.712371
-0.304,50,24.755373
-11.49,150,24.877371
0.767,25,24.895371
0.818,36,24.927391
-20.409,150,25.043387
-5.981,134,25.149775
-9.072,150,25.261152
-13.833,150,25.37707
-12.937,150,25.485001
-11.002,150,25.599181
-7.617,150,25.71704
-28.478,23,25.73404
-1.152,72,25.791418
-18.654,150,25.897418
-1.826,83,25.960419
-6.779,150,26.081519
-25.584,150,26.201993
-68.836,150,26.330157
-2.497,59,26.381072
-13.351,150,26.509372
-17.166,150,26.661981
-13.393,150,26.792822
-0.976,82,26.858036
-18.522,150,26.968523
-12.502,150,27.094927
-1.096,78,27.164927
0.725,51,27.214413
-0.18,36,27.246736
2.086,8,27.253736
-10.392,150,27.377691
-8.243,150,27.506942
-32.045,150,27.61894
-14.971,150,27.736093
-32.232,37,27.762277
-15.039,150,27.879001
-10.168,150,27.994035
-10.076,150,28.113396
-18.56,150,28.228694
-1.16,81,28.292166
-6.672,150,28.415406
2.62,3,28.418406
-8.939,150,28.538157
-1.314,55,28.589447
-15.339,150,28.701991
-7.317,150,28.82763
1.757,37,28.862789
-0.143,36,28.894142
0.328,39,28.924385
-16.935,150,29.045882
-20.351,150,29.18619
0.653,47,29.232293
-31.524,150,29.353172
2.444,6,29.358172
-9.021,150,29.475833
-3.706,150,29.594622
-7.045,150,29.714135
-7.536,150,29.825769
-22.052,150,29.949676
-10.038,150,30.076993
-8.94,150,30.195694
-15.678,150,30.329829
-21.133,150,30.446832
-13.809,150,30.572044
-15.583,150,30.695201
-10.763,150,30.816562
-0.565,60,30.87053
-9.356,150,30.982895
-7.078,150,31.101284
-12.849,150,31.256162
-15.828,150,31.813884
1.744,45,31.859393
-15.081,150,31.972577
-13.433,150,32.087579
-1.724,51,32.130576
-8.551,150,32.257483
1.179,59,32.310167
-12.84,150,32.431593
-6.588,150,32.550539
-28.019,23,32.574034
-1.508,85,32.642033
-11.033,150,32.759371
-24.725,150,32.878587
0.648,64,32.928096
-8.92,150,33.037681
-9.72,150,33.163844
-13.289,150,33.284216
-18.002,150,33.396316
-2.588,58,33.440459
-4.517,150,33.551956
-8.154,150,33.665959
-32.855,150,33.768962
2.45,6,33.773962
-10.227,150,33.891909
2.145,3,33.894909
-0.127,67,33.951605
-11.927,150,34.060605
-14.282,150,34.179909
-1.985,76,34.245523
-12.977,150,34.362566
0.11,53,34.402565
-29.358,18,34.415565
-2.627,98,34.492565
-9.426,150,34.616117
-1.214,71,34.676404
-23.063,42,34.708404
-3.729,148,34.831933
-17.613,150,34.946247
-17.325,150,35.063552
-17.951,150,35.17679
-5.848,150,35.301281
-35.571,150,35.428195
-16.171,150,35.558877
-20.438,150,35.687063
2.262,4,35.691065
-24.967,150,35.821362
-0.108,57,35.872757
-17.138,150,35.995369
-7.347,150,36.137417
