#{"t_start": 1775491147.130966, "env_id": "None"}
r,l,t
-13.65,60,0.345424
-91.785,150,0.376331
-121.895,150,0.400125
-83.335,150,0.429184
-349.02,150,0.484797
-34.76,150,0.513117
-62.72,150,0.541117
-292.785,150,0.611576
-112.89,150,0.650076
-169.44,150,0.678405
-84.22,150,0.707472
-44.95,150,0.733782
-97.14,150,0.767164
-107.47,150,0.801192
-63.265,150,0.836683
-27.81,150,0.871905
-50.98,37,0.886442
-86.095,150,0.92113
-25.425,14,0.926131
-115.105,150,0.964124
-111.085,150,1.001555
-45.27,45,1.014555
-78.825,150,1.044557
-104.235,150,1.076554
-25.67,62,1.096051
-157.77,150,1.122576
-102.345,150,1.151596
-116.52,150,1.183052
-34.365,150,1.216327
-46.275,32,1.233064
-93.715,150,1.266061
-226.435,150,1.300658
-66.37,150,1.331219
-72.445,150,1.367322
-159.665,150,1.399232
-43.3,150,1.433869
-29.035,17,1.44223
-138.655,150,1.472597
-32.05,16,1.47893
-273.985,150,1.564896
-99.52,150,1.69737
-173.285,150,1.814984
-317.67,150,1.970508
-179.155,150,2.112103
-135.005,150,2.25423
-15.965,150,2.376413
-166.005,150,2.494764
-223.64,150,2.623119
-325.9,150,2.779363
-36.61,46,2.817772
-35.815,150,2.954701
-236.77,150,3.087049
-153.405,150,3.233356
-246.675,150,3.390397
-232.975,150,3.542277
-109.815,72,3.643645
-215.25,150,3.834856
-119.935,150,3.989585
-122.8,150,4.119102
-97.97,150,4.246708
-46.39,150,4.426918
-159.335,150,4.569446
-216.855,150,4.688545
-104.58,150,4.828284
-143.815,150,4.962731
-214.97,150,5.094184
-37.355,150,5.221848
-109.66,150,5.354453
-106.005,150,5.493646
-38.54,32,5.525803
-275.31,150,5.64929
-31.08,43,5.690038
-106.715,150,5.824373
-57.34,30,5.853848
-221.84,150,5.99288
-117.345,150,6.126779
-106.655,150,6.260832
-246.855,150,6.387394
-335.4,150,6.513412
-104.695,150,6.647135
-133.025,150,6.790552
-58.285,45,6.82755
-255.765,122,6.944106
-61.585,40,6.9852
-47.835,32,7.024349
-24.395,23,7.048732
-70.745,38,7.092985
-78.645,150,7.225087
-78.585,150,7.373401
-373.705,150,7.519563
-81.085,150,7.688239
-64.815,43,7.731557
-233.32,150,7.899336
