#{"t_start": 1775500359.2765203, "env_id": "None"}
r,l,t
-46.98,35,215.287414
-65.27,40,215.822239
-100.155,56,216.461719
-463.41,150,217.973065
-144.29,66,218.675773
-195.915,97,219.762766
-113.935,59,220.401121
-35.1,22,220.632483
-67.05,37,221.022572
-33.135,22,221.266195
-37.325,25,221.516077
-53.525,32,221.846772
-74.42,48,222.357344
-23.825,26,222.641096
-490.745,150,224.125227
-53.915,28,224.442229
-113.41,44,224.962811
-340.65,115,226.492675
-75.565,41,226.933375
-299.38,125,228.194609
-83.01,40,228.612784
-331.785,139,230.031901
-26.885,15,230.197223
-109.885,49,230.671217
-57.365,38,231.09181
-63.2,31,231.394073
-152.655,48,232.032484
-52.955,27,232.328586
-74.255,36,232.740978
-85.365,41,233.161972
-68.125,33,233.531372
-122.79,55,234.076674
-71.165,40,234.506835
-43.295,34,234.870317
-37.445,34,235.199546
-147.475,47,235.680113
-92.19,38,236.139344
-42.715,43,236.592332
-367.86,123,238.073403
-212.53,104,239.193887
-82.215,37,239.578709
-58.77,34,239.952343
-71.58,37,240.318575
-26.85,17,240.482271
-81.25,48,240.98745
-40.94,25,241.271593
-84.715,50,241.766542
-98.455,46,242.242539
-129.975,49,242.743271
-46.495,33,243.080492
-100.025,46,243.668509
-508.05,150,245.481723
-95.74,57,246.083599
-40.785,33,246.446572
-49.265,32,246.771242
-52.525,25,247.015616
0.88,3,247.067573
-48.62,38,247.437546
-36.245,23,247.679071
-55.245,30,247.963253
-56.545,38,248.383952
-98.03,61,248.99153
-79.57,42,249.435877
-48.86,26,249.716805
-41.32,23,250.043693
-39.105,31,250.381336
-164.88,76,251.203446
-31.12,29,251.486861
-61.88,32,251.825854
-71.7,32,252.150519
-95.055,50,252.640377
-71.79,32,252.978249
-44.575,24,253.266993
-54.705,60,253.957357
-67.485,38,254.442795
-25.315,15,254.629446
-40.3,26,254.927694
-44.1,28,255.209671
-155.12,58,255.882288
-21.33,20,256.124636
-182.255,71,256.873845
-10.92,6,256.959564
-31.03,20,257.194882
-67.6,37,257.559232
-88.445,41,257.987718
-43.05,26,258.264166
0.88,3,258.304845
-64.325,38,258.668659
-329.61,109,259.776386
-101.52,39,260.176357
-81.445,58,260.793814
-179.51,85,261.639949
0.88,3,261.692867
-101.035,56,262.404006
-67.09,36,262.799852
-46.61,59,263.402033
-170.695,80,264.234385
-138.32,59,264.888971
-18.91,19,265.125762
-64.32,38,265.587645
-53.855,33,265.974172
-57.565,36,266.3337
-24.805,26,266.583829
-38.695,19,266.791513
-44.115,33,267.128331
-68.04,36,267.492858
-66.815,28,267.813561
-150.19,63,268.548712
-35.925,23,268.827786
-32.39,30,269.127707
-138.65,63,269.80163
-72.19,41,270.211534
-103.08,58,270.832043
-63.01,33,271.170959
-34.875,25,271.412824
-172.25,64,272.112615
-376.78,150,273.880623
-64.145,33,274.286765
-36.32,28,274.582573
-30.705,29,274.892204
-189.67,71,275.681976
-80.005,47,276.183567
-486.83,150,277.812928
-75.195,34,278.192472
-133.345,59,278.779078
-92.26,39,279.183472
-107.1,46,279.664448
-83.045,53,280.290385
-551.025,150,281.93368
-28.055,21,282.217334
-88.445,43,282.734571
-35.62,40,283.185798
-27.725,22,283.470197
-28.3,35,283.848088
-33.195,23,284.05867
-85.74,45,284.5442
-110.485,47,285.016819
-70.015,33,285.382203
-45.96,33,285.712147
-13.22,10,285.79688
-36.89,31,286.184356
-384.1,134,287.68833
-68.655,34,288.015856
-70.415,42,288.454753
0.69,4,288.507223
-34.87,18,288.675587
-69.325,35,289.043255
-34.65,25,289.289946
-31.735,19,289.511602
-29.365,25,289.765697
-77.205,47,290.250772
-84.4,37,290.612958
-27.025,27,290.913466
-111.475,41,291.326159
-128.975,57,291.907033
-70.315,38,292.364908
-33.99,22,292.603461
-115.0,41,293.07677
-180.315,77,294.11586
-175.73,72,294.892791
-72.94,29,295.214315
-53.91,34,295.572799
-70.975,46,296.033744
-64.01,33,296.377632
-42.23,22,296.636945
-76.53,47,297.149718
-92.505,41,297.553617
-57.375,31,297.891034
-66.765,29,298.208246
-61.05,29,298.602393
-86.115,33,298.944202
-39.1,22,299.196293
-76.42,49,299.766054
-148.025,50,300.379529
-47.1,32,300.759521
-69.29,34,301.147925
-103.54,41,301.660296
-122.44,47,302.214871
-134.035,56,302.777721
-79.165,43,303.214972
-65.945,31,303.553795
-41.04,18,303.717184
-40.475,19,303.923446
-51.7,27,304.210379
-106.705,50,304.796256
-27.505,30,305.139606
-41.905,33,305.504991
-75.825,41,305.946213
-106.08,50,306.490034
-83.545,34,306.819859
-77.955,47,307.298661
-22.175,12,307.423869
-102.065,48,307.936513
-97.875,60,308.57349
-62.72,51,309.094013
-91.265,51,309.575018
-19.21,15,309.752883
-47.7,25,310.010547
-48.05,31,310.357145
-71.095,33,310.812058
-35.67,23,311.160801
-149.73,53,311.834358
-39.55,25,312.178257
-83.38,47,312.621258
-25.875,27,312.930521
-78.95,30,313.253839
-60.135,44,313.699249
-26.1,20,313.903839
-240.67,81,314.723056
-41.0,29,315.016872
-31.8,29,315.301941
-86.525,37,315.693573
-70.175,33,316.050256
-84.875,37,316.424366
-105.55,66,317.222651
-105.185,52,317.806438
-68.17,39,318.222562
-55.9,28,318.501196
-107.74,46,318.993379
-135.575,53,319.512049
-64.93,29,319.821706
-48.345,46,320.307338
-87.465,37,320.671522
-104.445,55,321.262881
-41.305,25,321.520512
-108.485,49,322.050911
-79.935,39,322.545444
-26.94,26,322.948977
-94.21,45,323.449414
-65.235,34,323.808049
-129.015,52,324.425506
-41.905,24,324.663327
-45.485,34,325.083124
-26.245,19,325.282266
-38.27,23,325.485248
-40.705,30,325.820299
-56.15,26,326.094558
-24.2,12,326.218718
-77.96,35,326.581133
-78.7,40,326.991647
-68.515,29,327.288563
-78.92,43,327.726193
-20.275,15,327.897369
-50.48,40,328.30522
-65.505,38,328.685801
-23.355,17,328.985253
-59.85,33,329.370847
-90.48,56,330.079732
-48.34,31,330.50798
-83.815,37,330.933054
-55.24,36,331.327147
-92.49,44,331.765934
-145.28,60,332.392968
-62.94,41,332.799001
-31.49,28,333.086479
-30.15,19,333.284069
-119.69,55,333.863079
-104.625,54,334.402145
-101.3,40,334.808074
-58.205,57,335.459694
-102.23,48,336.000926
-97.125,62,336.682298
-50.375,20,336.885173
-70.19,34,337.213055
-68.025,28,337.508297
-73.12,51,338.045845
-126.915,62,338.697314
-68.94,31,339.005366
-94.51,61,339.77301
-198.505,117,341.181359
-90.99,59,341.82447
-156.585,65,342.512306
-37.985,22,342.725052
-42.6,38,343.13852
-100.965,85,343.987369
-35.385,22,344.230889
-81.075,38,344.614939
-128.4,81,345.441151
-70.88,46,345.927791
-117.985,48,346.422697
-52.475,40,346.868654
-78.465,48,347.447989
-80.575,35,347.823284
-99.765,44,348.321548
-49.425,29,348.620581
-64.54,27,348.898991
-78.33,44,349.352406
-274.355,96,350.332312
-110.475,44,350.855187
-52.25,27,351.167148
-398.015,96,352.211628
-111.005,72,352.9472
-59.18,26,353.315878
-63.64,33,353.667112
-124.11,56,354.368372
-58.795,46,354.853681
-29.055,22,355.083126
0.69,4,355.128154
-44.84,23,355.371848
-104.365,54,355.897451
-64.79,30,356.236525
-148.0,61,356.851848
-70.945,34,357.211418
-79.465,54,357.76695
-121.77,55,358.421807
-12.5,12,358.605502
-68.58,37,359.050008
-52.895,31,359.480449
-62.44,32,359.849957
-35.04,24,360.122261
-84.99,37,360.526384
-90.105,55,361.086471
-64.595,39,361.519813
-108.21,47,361.968891
-152.25,84,362.817022
-64.18,28,363.0905
-86.315,42,363.550607
-38.005,22,363.756634
-158.485,57,364.358413
-41.095,30,364.639709
-548.585,150,366.335574
-79.725,45,366.81221
-17.125,17,366.967974
-63.535,45,367.430557
-53.81,29,367.803221
-73.495,39,368.218858
-39.615,27,368.592087
-63.115,63,369.309217
-35.2,30,369.607255
-61.39,43,370.056386
-62.7,39,370.461579
-50.895,35,370.82041
-30.22,23,371.042736
-114.79,52,371.666177
-154.975,66,372.404052
-75.47,51,373.01464
-40.275,20,373.267677
-55.31,33,373.627791
-38.14,32,373.974228
-59.355,36,374.343967
-44.585,28,374.644101
0.45,5,374.685768
-66.675,51,375.208034
-185.11,64,375.848889
-93.375,48,376.352869
-95.665,42,376.761215
-28.05,16,376.922084
-47.715,24,377.184897
-52.28,38,377.676134
-69.12,37,378.073577
-79.38,54,378.681158
-38.89,31,378.965264
-31.055,28,379.321492
-17.47,14,379.500088
-59.93,32,379.848001
-104.11,48,380.443621
-430.095,150,382.489278
-59.95,51,383.013868
-99.65,51,383.635871
-43.765,31,383.973087
-83.825,50,384.591096
-50.835,38,384.998422
-92.01,37,385.369338
-54.135,39,385.7721
-21.63,17,385.952352
-35.915,22,386.153401
-73.685,44,386.658623
-21.81,15,386.842154
-101.845,53,387.505219
-69.74,39,387.949497
-94.31,74,388.765332
-83.815,38,389.124829
-140.08,63,389.885505
-112.685,41,390.328859
-117.145,59,390.966466
-51.495,38,391.33346
-165.53,64,391.997779
-61.08,34,392.360852
-34.685,34,392.682943
-53.875,36,393.048538
-89.56,48,393.548411
-415.69,150,395.076437
-349.065,150,396.818659
-86.73,43,397.330242
-21.75,15,397.559113
0.695,3,397.609226
-57.94,26,397.884133
-86.665,50,398.459206
-80.885,39,398.842591
-199.065,114,400.000329
-97.865,38,400.364867
-475.645,131,401.776706
-95.575,36,402.17652
-108.96,41,402.636369
-39.115,26,402.945971
-39.695,34,403.268888
-60.49,52,403.813019
-27.78,24,404.053608
-173.27,104,405.114927
-43.675,22,405.355175
-335.545,150,406.851911
-173.565,85,407.829763
-30.425,22,408.065215
-53.79,28,408.419214
-41.65,24,408.730236
-27.025,54,409.409603
0.88,3,409.412612
-68.59,37,409.827581
-435.265,150,411.366611
-59.61,31,411.704098
-126.745,63,412.350967
-29.3,20,412.560315
-24.21,24,412.821111
-56.715,26,413.073738
-42.1,35,413.480901
-68.57,56,414.118829
-97.355,50,414.71166
-72.355,34,415.128743
-123.565,53,415.718245
-97.615,53,416.362939
-100.71,33,416.779214
-110.2,42,417.243529
-80.67,37,417.609362
-111.975,47,418.097301
-30.55,27,418.389903
-46.525,40,418.797048
-102.445,45,419.245349
-85.26,34,419.646452
-48.13,29,419.99148
-106.955,62,420.656486
-91.47,41,421.133823
-453.885,150,422.659413
-119.0,57,423.243536
-237.12,88,424.185255
-81.905,31,424.546303
-94.635,44,425.053949
-125.465,52,425.751374
-83.36,49,426.412932
-82.525,40,426.895159
-78.765,42,427.406724
-119.1,46,427.885575
-73.435,37,428.286951
-68.34,32,428.607657
-52.16,35,428.933531
-186.58,57,429.537742
-27.13,17,429.700959
-53.385,23,429.947207
-454.395,150,431.566247
-103.39,49,432.177238
-63.145,24,432.434056
-44.03,21,432.690363
-149.265,67,433.459816
-65.865,66,434.315578
-74.845,33,434.663253
-29.98,22,434.951909
-54.22,29,435.264775
-33.175,42,435.690809
-36.905,22,435.928183
-515.525,150,437.41881
-222.225,110,438.657174
-135.715,56,439.309992
-80.565,42,439.715646
-434.16,150,441.276971
-141.535,52,441.808942
-104.145,52,442.350515
-324.175,150,444.03498
-217.735,71,444.954283
-19.975,15,445.144434
-106.175,53,445.715457
-79.94,45,446.175891
-119.065,40,446.589021
-39.675,28,446.868701
-82.09,35,447.251118
-81.775,40,447.654055
-13.4,8,447.739736
-102.515,41,448.158197
-43.87,18,448.368714
-73.9,29,448.649601
-80.19,40,449.048875
-57.73,44,449.489282
-55.89,39,449.912833
-32.625,27,450.308866
-50.18,27,450.580543
-29.875,20,450.79271
-58.85,36,451.214978
-32.775,25,451.531583
-62.625,33,451.860812
-444.575,150,453.366126
-59.55,30,453.697498
-131.615,67,454.386119
-56.095,29,454.665988
-138.46,69,455.478532
-51.165,43,455.994203
-99.415,57,456.66969
-116.595,61,457.335271
-37.59,30,457.685036
-65.145,47,458.246426
-27.855,24,458.489324
-83.285,45,458.945373
-54.15,26,459.197864
-47.355,32,459.533133
-56.985,44,459.978415
-47.69,27,460.266042
-91.055,42,460.709022
-112.0,148,462.328402
0.88,3,462.331403
-38.595,28,462.709618
-63.76,40,463.271683
-115.89,43,463.843515
-66.01,59,464.473317
-49.175,21,464.675991
-123.49,42,465.128828
-49.955,29,465.426002
-48.54,27,465.709575
-53.79,37,466.088669
-51.405,28,466.372075
0.74,4,466.428871
-95.605,59,467.044439
-60.06,40,467.44832
-46.64,38,467.818114
-101.685,44,468.284539
-61.375,30,468.689814
-58.79,23,468.906491
-329.0,102,470.128575
-57.67,51,470.878801
-80.47,40,471.412107
-46.24,25,471.739575
0.65,4,471.790241
-67.395,58,472.542334
-42.5,23,472.893741
0.6,5,472.959441
-47.245,34,473.415104
-93.77,81,474.310643
0.88,3,474.348956
-37.1,30,474.694666
-57.51,30,475.060113
-73.28,47,475.60946
-63.085,44,476.106832
-45.38,28,476.401445
0.84,4,476.444506
-59.465,33,476.797639
-51.56,28,477.089428
-56.26,33,477.429151
-55.63,37,477.802593
-94.92,55,478.401008
-38.255,37,478.787255
-120.465,51,479.324605
-388.0,150,481.151303
-58.09,22,481.405595
-120.04,60,482.17198
-78.565,57,482.748932
-36.445,23,482.988283
-69.855,32,483.333927
-61.305,27,483.621067
-82.905,33,483.953207
-99.66,41,484.366077
-55.375,34,484.753178
-88.64,47,485.245373
-75.44,45,485.694574
-78.42,30,485.979839
-87.77,32,486.317381
-84.64,32,486.646278
-34.285,35,487.098375
-94.885,52,487.661126
-92.705,43,488.158334
-39.05,20,488.386372
-80.665,31,488.739844
-175.52,66,489.414801
-39.025,23,489.714835
-41.375,28,490.034216
-63.365,33,490.393197
-41.6,33,490.794544
-52.275,35,491.223122
-30.425,26,491.548055
-102.16,70,492.261228
-254.895,105,493.418251
-99.635,53,494.047551
-91.415,42,494.495271
-172.945,73,495.221488
-66.995,42,495.68427
-85.15,52,496.244929
-108.615,57,496.833078
-578.735,150,498.509355
-109.35,43,499.064316
-234.99,86,500.1191
-115.6,49,500.630311
-477.865,150,502.208825
-93.29,53,502.73077
-127.9,39,503.152482
-101.575,52,503.679589
-112.725,50,504.172928
-77.245,36,504.540757
-66.125,33,504.883529
-278.49,83,505.846325
-93.705,47,506.362587
-81.8,49,506.87033
-40.67,24,507.131706
-21.83,17,507.297487
-71.11,39,507.759695
-98.245,47,508.35287
-52.155,46,508.883096
-42.76,28,509.217845
-42.785,39,509.642107
-88.075,41,510.04686
-56.1,25,510.339768
-145.475,65,510.99419
-111.455,46,511.52651
-65.29,33,511.937065
-173.53,72,512.76771
-72.29,36,513.152757
-81.005,42,513.552264
-126.94,51,514.086877
-68.02,32,514.419658
-57.645,39,514.830747
-212.965,80,515.632465
-47.345,28,515.954877
-89.19,51,516.502601
-85.695,33,516.919752
-36.745,28,517.264369
-81.25,42,517.725878
-15.085,14,517.915916
-55.365,32,518.266639
-62.26,33,518.617293
-120.73,57,519.224965
-78.165,72,520.151289
0.88,3,520.194461
-51.935,36,520.556852
-73.5,35,520.925547
-57.605,27,521.184529
-76.78,52,521.72266
-33.77,31,522.056885
-85.485,52,522.59456
-88.24,45,523.063379
-52.475,33,523.503013
-62.765,31,523.822836
-35.515,23,524.09138
-552.035,150,525.697512
-25.415,17,525.872105
-74.125,40,526.303451
-46.225,33,526.666175
-72.91,42,527.195676
-80.73,56,527.882213
-101.63,54,528.443744
-89.305,52,528.970459
-65.955,32,529.333911
-139.51,56,530.000623
-101.925,61,530.626983
-76.99,29,530.975573
-29.375,25,531.236703
-112.265,60,531.86133
-36.47,33,532.193031
-21.415,17,532.354787
-76.685,41,532.813301
-74.685,44,533.264018
-147.51,66,533.923193
-40.775,23,534.170302
-88.475,48,534.679796
-143.995,53,535.218924
-29.74,31,535.604557
-85.525,36,536.009221
-57.27,31,536.424204
-33.5,27,536.718567
-40.55,30,537.180688
-125.39,76,538.040072
-22.435,29,538.350678
-47.205,33,538.674334
-407.725,150,540.247677
-59.47,38,540.613683
0.88,3,540.666992
-46.685,24,540.917876
-57.415,27,541.203129
-96.96,42,541.681943
-66.5,28,542.013049
-46.965,29,542.367513
-139.955,56,543.030568
-54.33,35,543.360464
-184.12,68,544.063778
-55.675,31,544.390494
-83.905,43,544.840717
-116.72,54,545.369043
-86.985,33,545.748582
-76.22,33,546.081519
-72.805,31,546.414923
-46.08,32,546.742112
-68.85,45,547.213739
-40.585,29,547.514911
-36.125,35,547.994343
-29.025,27,548.343722
-56.855,24,548.681122
-132.16,78,549.583439
-247.305,87,550.484877
-48.05,38,550.874963
-32.915,22,551.136783
-80.065,31,551.461077
-34.7,18,551.628304
-90.69,37,552.000275
-45.95,27,552.303116
-92.655,38,552.707138
-79.665,51,553.21657
-455.685,150,554.921275
-456.085,147,556.731867
-109.575,47,557.231413
-21.08,13,557.388522
-124.985,47,557.836481
-49.785,44,558.300999
-62.29,27,558.584443
-33.89,35,558.957623
-22.865,33,559.285518
-48.07,23,559.548242
-37.155,22,559.795109
-83.88,50,560.411156
-61.45,25,560.668489
-84.195,34,561.104442
-56.925,29,561.412376
-170.015,79,562.229449
-74.92,49,562.711982
-49.85,26,562.986375
-377.75,100,563.994053
-35.64,22,564.236856
-53.8,24,564.475618
-33.7,18,564.653509
-41.95,24,564.90679
0.88,3,564.955446
-35.85,35,565.356473
0.88,3,565.416811
-109.83,50,566.017697
-101.275,55,566.778627
-59.925,40,567.244547
-120.285,78,568.047015
-17.44,11,568.176688
-158.545,90,569.097562
-20.32,18,569.266651
-17.815,12,569.404086
-29.36,19,569.60602
-38.215,22,569.809219
0.79,3,569.849612
0.705,4,569.901721
0.69,4,569.946398
-29.49,36,570.324641
-28.01,21,570.526958
-116.695,56,571.116549
-55.925,24,571.364333
-71.85,32,571.691834
-521.04,150,573.435988
-35.275,24,573.694597
-39.47,21,573.90338
-121.525,44,574.354889
-119.58,71,575.078544
-67.165,27,575.383714
-44.885,30,575.668218
-45.03,27,575.962278
-36.39,31,576.293232
-29.475,21,576.509402
-49.865,45,577.032679
-67.035,34,577.481522
-57.71,27,577.776684
-75.125,37,578.276211
-120.705,57,578.886931
-67.51,33,579.230396
-63.98,48,579.766475
-169.23,64,580.447587
-83.575,35,580.815283
-80.31,52,581.348005
-67.285,45,581.798133
-35.275,37,582.175476
-80.605,54,582.742151
-82.16,35,583.105658
-50.59,32,583.429717
-138.27,49,583.969594
-53.245,30,584.360878
-48.5,33,584.85951
-49.71,36,585.295837
-67.685,35,585.723747
-52.435,41,586.188057
-59.32,38,586.570517
-31.62,33,586.901526
-255.52,80,587.722549
-128.675,44,588.17585
-51.0,27,588.454999
-63.02,42,588.896477
-73.45,39,589.279036
-408.88,150,590.928926
-64.395,50,591.435217
-100.175,53,592.045691
-41.79,19,592.225132
-97.615,50,592.74917
-53.425,51,593.274562
-93.97,54,593.836899
-28.28,24,594.124769
-27.885,35,594.548815
0.69,4,594.611912
-39.12,29,594.962669
-53.66,30,595.328661
-61.43,34,595.681866
-46.425,36,596.052322
-28.605,16,596.210934
-92.95,40,596.737442
-61.28,31,597.079505
-57.095,26,597.347152
-54.52,29,597.706514
-44.09,22,597.932417
-105.485,68,598.676113
-33.14,31,598.997831
0.88,3,599.04184
-89.07,38,599.42211
-25.615,21,599.62018
-102.475,45,600.118469
-56.39,28,600.400317
0.5,5,600.455336
-53.145,24,600.705692
-39.9,22,600.90536
-185.235,62,601.545219
-109.285,59,602.660522
-109.01,65,603.359935
-71.885,39,603.838518
-35.815,25,604.086535
-29.495,23,604.342342
-86.955,46,604.795411
-240.625,93,605.81972
-130.6,74,606.708521
-37.31,29,607.013571
-44.35,26,607.293108
0.88,3,607.296778
-294.34,98,608.301132
-46.09,31,608.757547
-32.87,49,609.260217
-46.705,22,609.479019
-47.14,35,609.86533
-29.195,20,610.098326
-13.84,8,610.176347
-20.59,19,610.380195
-69.835,30,610.66813
-90.26,53,611.262883
-39.405,21,611.467741
-49.72,33,611.805616
-85.805,46,612.283412
-243.02,83,613.205674
-38.87,28,613.54863
-58.225,26,613.900643
-42.375,25,614.183126
-141.45,51,614.828645
-67.305,41,615.260104
-28.475,33,615.613618
-172.21,69,616.395516
-425.36,150,617.920947
-182.88,64,618.559848
-356.135,109,619.646948
-47.56,44,620.090569
-80.315,50,620.657052
-40.075,21,620.944316
-53.665,27,621.259722
