#{"t_start": 1775687848.9954393, "env_id": "None"}
r,l,t
-30.401,150,0.171879
-23.611,150,0.271157
-26.783,33,0.294164
-29.194,150,0.387381
-21.486,150,0.480935
-28.407,150,0.575323
-16.909,150,0.671083
-35.099,150,0.764699
2.066,5,0.768699
-18.798,150,0.864101
-22.201,150,0.958445
-20.758,150,1.0612
-124.996,150,1.163533
-22.75,150,1.262016
-14.916,150,1.358801
-25.591,150,1.785638
-28.383,150,1.887502
-22.024,150,1.990868
-14.213,150,2.089808
-5.438,77,2.141807
1.758,8,2.146808
-38.047,150,2.240467
-20.832,150,2.340249
-22.249,150,2.433092
-18.953,150,2.532144
-18.17,150,2.624551
-31.84,150,2.715228
-28.002,150,2.80959
-22.321,150,2.905018
-18.376,150,3.002978
-21.48,150,3.376099
-19.155,150,3.479113
-2.602,72,3.534162
-12.702,150,3.631459
-34.506,150,3.727684
-5.755,107,3.799318
-18.089,150,3.894459
-33.582,40,3.922467
-22.706,150,4.019931
-34.217,150,4.120015
-11.884,150,4.217417
-25.651,150,4.315132
-18.195,150,4.411593
-23.627,150,4.512198
-24.068,150,4.606614
-16.5,150,4.984509
-20.611,150,5.09786
-17.771,150,5.201286
-165.312,150,5.294221
-31.03,150,5.390221
-35.858,150,5.486388
-1.321,33,5.509464
-30.387,150,5.608002
-17.239,150,5.704936
-18.175,150,5.810907
-17.236,150,5.909114
-19.179,150,6.008611
-18.688,150,6.115842
2.051,5,6.119842
-13.345,150,6.217405
-23.119,150,6.31827
-29.309,23,6.619828
-22.841,150,6.754364
-21.933,150,6.893791
0.865,59,6.93543
-27.839,150,7.038628
-19.021,150,7.137703
-36.275,150,7.233872
-6.887,112,7.309775
-2.749,52,7.34526
-26.337,150,7.442475
-2.356,55,7.482725
-14.647,150,7.582493
-24.508,150,7.676381
-0.84,39,7.704527
-22.266,150,7.805826
-14.554,150,7.908626
-14.313,150,8.007607
-11.03,150,8.40024
-33.719,39,8.429238
-9.526,150,8.535298
-19.391,150,8.633297
-2.602,79,8.692394
-14.179,150,8.798771
-12.956,150,8.900925
-27.894,150,9.004384
-24.941,150,9.107257
-23.056,150,9.215264
-20.129,150,9.312817
-28.438,150,9.409803
-10.605,150,9.508031
-19.035,150,9.607235
-26.942,150,9.708178
-9.539,150,10.16143
-2.731,56,10.206428
-2.014,58,10.261428
-16.922,150,10.365427
-13.404,150,10.468428
-3.011,106,10.538891
-0.876,64,10.589627
-25.839,150,10.698666
-23.671,9,10.70588
-21.569,150,10.809095
-16.459,150,10.90765
2.486,5,10.91165
-15.912,150,11.012709
-31.726,23,11.029426
0.209,28,11.048713
-13.629,150,11.148031
-9.697,150,11.249029
-8.404,150,11.350066
-39.515,150,11.444476
-27.601,150,11.938286
-14.949,150,12.053411
-13.75,150,12.160757
-12.728,150,12.263935
-33.447,150,12.360979
-6.791,150,12.465927
-22.261,150,12.567374
-11.747,150,12.671625
-30.217,150,12.768786
-4.593,92,12.832294
-8.256,150,12.934197
0.608,44,12.965449
0.359,62,13.008691
-23.114,150,13.108006
-6.507,150,13.212321
-18.495,150,13.601258
-0.951,37,13.632258
-11.613,150,13.744329
-15.353,150,13.851732
-4.418,150,13.956168
2.557,6,13.961168
-36.247,24,13.978523
-11.655,150,14.080377
-12.415,150,14.182365
-15.562,150,14.284501
2.566,5,14.288501
-1.407,88,14.348696
-0.979,76,14.403309
-29.88,29,14.423309
-5.302,150,14.527187
-14.878,150,14.627058
-6.464,150,14.727643
-17.999,150,14.829736
-20.293,150,14.933265
-1.603,45,14.965741
-0.402,56,15.006705
-12.528,150,15.417104
-14.897,150,15.528747
0.065,38,15.556096
-25.614,150,15.656709
-9.625,150,15.75538
-25.105,150,15.857954
-8.753,150,15.962694
-4.847,150,16.069437
-17.225,150,16.167564
-31.079,150,16.267381
-13.204,150,16.371641
-6.925,150,17.033099
-13.249,150,17.134415
-19.097,150,17.246115
2.571,8,17.252117
-23.704,150,17.680073
-11.193,150,17.810199
-1.435,62,17.857283
-20.077,150,17.959822
-14.162,150,18.063387
-10.656,150,18.169868
2.736,5,18.173868
-18.51,150,18.273673
-10.55,150,18.377748
-30.095,150,18.478934
1.106,33,18.502933
-16.973,150,18.603334
-8.774,150,18.703752
-20.239,150,18.80523
-8.155,150,18.903427
-4.216,150,19.011518
-25.874,150,19.400339
-9.379,150,19.51638
-8.359,150,19.621452
-1.411,107,19.698837
-14.76,150,19.799043
-10.928,150,19.903367
-5.485,150,20.009205
-11.723,150,20.113866
-12.933,150,20.214252
1.807,47,20.249426
-1.449,113,20.328538
1.577,29,20.349537
2.598,8,20.355536
-0.96,54,20.393576
0.97,66,20.44156
-11.413,150,20.545597
-0.85,49,20.580597
0.455,54,20.6206
-28.86,33,20.6446
-11.849,150,20.7496
-15.366,150,21.146042
-1.36,73,21.203045
0.502,46,21.244272
2.368,8,21.252273
-0.06,41,21.282453
-21.802,150,21.383383
-10.308,150,21.48763
-14.248,150,21.591326
-12.324,150,21.706107
2.821,7,21.712106
1.379,46,21.745255
-6.557,150,21.850709
-5.314,150,21.95622
-4.531,150,22.063143
0.562,35,22.088549
0.47,61,22.131164
-13.554,150,22.231714
-10.759,150,22.338788
-1.373,55,22.377147
-7.83,150,22.481149
-11.908,150,22.863748
-30.966,150,22.969592
-0.232,37,23.001041
0.941,33,23.027065
-9.477,150,23.132224
-0.887,67,23.178792
-15.232,150,23.281267
1.585,35,23.307022
0.683,78,23.363076
2.336,28,23.383901
-1.957,125,23.472834
-11.858,150,23.576486
-6.115,150,23.683998
1.542,45,23.717868
-18.504,150,23.820056
-11.299,150,23.935421
-8.718,150,24.042871
1.282,34,24.068174
