#{"t_start": 1775757126.3776755, "env_id": "None"}
r,l,t
-19.313,150,0.063564
-34.492,150,0.094916
-35.111,26,0.102751
-3.51,50,0.11581
-125.436,150,0.152489
2.144,6,0.154489
-25.829,150,0.189235
-25.376,150,0.220236
-17.208,150,0.254421
-25.149,150,0.323874
-18.769,150,0.357101
-14.267,71,0.375503
-23.68,150,0.406998
-28.261,150,0.434394
-25.072,150,0.463577
-17.978,150,0.498578
-21.122,150,0.534903
-5.501,52,0.547045
-24.08,150,0.577593
2.836,5,0.579602
-24.056,150,0.611927
-33.565,150,0.642238
-40.76,44,0.653732
-17.112,150,0.68674
-17.014,150,0.720772
-21.497,150,0.755772
-32.21,150,0.785773
-29.08,150,0.81795
-20.443,150,0.850978
-12.982,150,0.881977
-15.146,140,0.908978
-19.19,150,0.937977
-23.389,150,0.988039
-3.978,96,1.013624
-2.761,54,1.027624
-2.128,72,1.048373
-28.819,150,1.080578
-27.22,150,1.111597
-31.244,150,1.144487
-24.534,150,1.176846
-42.142,38,1.189488
-22.847,150,1.221696
-20.452,150,1.254897
-17.128,150,1.286943
-5.409,78,1.306418
-20.835,150,1.337011
-13.63,150,1.371669
-42.606,150,1.398669
-37.48,150,1.433001
-15.546,150,1.464685
-13.622,150,1.496211
-40.697,150,1.525652
-17.652,150,1.559879
-19.606,150,1.593792
-19.106,150,1.628195
-44.186,39,1.639195
-36.204,150,1.669353
-35.833,150,1.700752
-12.622,150,1.733763
1.806,6,1.735763
-34.123,150,1.770142
-19.49,150,1.799142
-4.918,61,1.815141
-25.551,150,1.847862
-24.628,150,1.87966
-33.604,150,1.912028
-22.52,150,1.942045
-40.622,97,1.965106
-47.774,94,1.988072
-25.038,150,2.016291
-5.36,81,2.033288
-13.221,77,2.054288
-156.182,150,2.086357
-123.923,150,2.117357
-27.162,150,2.148787
-30.941,150,2.18248
-14.988,150,2.233244
-5.051,75,2.252242
-22.754,150,2.283902
-25.515,150,2.317911
-44.14,33,2.329522
-26.947,150,2.360546
-18.686,150,2.391588
-22.481,150,2.427095
-14.72,150,2.461277
-24.143,150,2.494194
-36.408,150,2.531524
2.224,6,2.534025
-16.186,150,2.570898
-18.184,150,2.60716
-16.509,150,2.635664
-26.623,150,2.672079
-2.64,68,2.695487
-25.792,150,2.724478
-25.869,150,2.754573
-1.134,46,2.768072
-5.832,114,2.797232
-27.994,150,2.824436
-29.031,150,2.851444
-27.108,150,2.882585
-18.27,150,2.916892
-20.8,150,2.949421
1.429,6,2.951421
